...1,es_score,brier_score,location,target_date,X24A_50_CI,X24B_50_CI,X24C_50_CI,X24D_50_CI,X24E_50_CI,X24G_50_CI,other_50_CI,X24A_95_CI,X24B_95_CI,X24C_95_CI,X24D_95_CI,X24E_95_CI,X24G_95_CI,other_95_CI
186,7.44763209848832,0.391836414747659,CA,2024-07-03,0,0,1,1,1,1,1,0,0,0,0,0,0,0
187,2.43220892963471,0.388970867988723,CA,2024-07-04,0,1,1,1,1,1,1,0,0,0,0,1,0,1
188,9.92862732046498,0.421929637086615,CA,2024-07-05,0,0,0,1,0,0,1,0,1,0,0,0,0,0
189,8.7596636426795,0.4211526618585745,CA,2024-07-06,0,0,0,1,0,1,1,0,1,0,1,0,0,0
190,11.4320358852605,0.41258757932972,CA,2024-07-07,0,1,0,1,0,1,1,0,0,0,1,0,0,0
191,15.1355108485167,0.432628347248103,CA,2024-07-08,0,1,0,1,0,1,1,0,0,0,0,0,1,0
192,23.2957098514542,0.449766012653124,CA,2024-07-09,0,0,0,0,0,1,0,0,0,0,0,0,0,0
193,12.1835123098921,0.423745460329922,CA,2024-07-10,0,0,0,0,1,1,1,0,0,0,0,0,0,0
194,14.6219554740074,0.4363175616006225,CA,2024-07-11,0,0,0,0,0,0,1,0,0,0,0,0,1,0
195,23.9284036501625,0.4299888746559805,CA,2024-07-12,0,0,0,0,0,1,1,0,0,0,1,0,0,1
196,6.98949778855375,0.429570585642636,CA,2024-07-13,0,0,0,1,1,1,0,0,0,0,0,0,1,0
197,17.7866539062055,0.43469538688914,CA,2024-07-14,0,0,0,0,0,0,1,0,0,0,0,0,0,0
198,21.0089575323653,0.4333907379928285,CA,2024-07-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,27.3112281947043,0.4607607965900275,CA,2024-07-16,0,0,0,0,0,0,0,0,0,0,0,0,1,0
200,13.1567451591272,0.446198656325473,CA,2024-07-17,0,0,0,1,0,1,1,0,0,0,0,0,0,1
201,14.5677226094963,0.428656009571528,CA,2024-07-18,0,1,1,1,0,0,1,0,0,0,1,0,0,0
202,5.89552437548821,0.44559158460073,CA,2024-07-19,0,1,0,1,0,1,1,0,0,0,1,0,0,1
203,10.3844988089609,0.4347865114778145,CA,2024-07-20,0,0,1,1,0,1,0,0,0,0,0,0,0,1
204,19.1236600194749,0.486069681472516,CA,2024-07-21,0,0,0,1,0,0,1,0,0,0,1,0,0,1
205,26.786677041795,0.4513767460761405,CA,2024-07-22,0,0,0,0,0,1,1,0,0,0,0,0,0,0
206,22.2371961824785,0.476412490875213,CA,2024-07-23,0,0,0,1,0,0,1,0,0,0,0,0,0,1
207,24.3595751646454,0.481295195360843,CA,2024-07-24,0,0,0,0,0,0,1,0,0,0,0,0,0,1
208,16.6406050809544,0.4604991676203665,CA,2024-07-25,0,1,0,1,0,1,0,0,1,0,0,0,0,0
209,18.4148493469662,0.5037784554553,CA,2024-07-26,0,0,0,1,0,1,0,0,0,0,0,0,0,0
210,12.7997132509683,0.470191858703827,CA,2024-07-27,0,0,0,1,0,1,1,0,0,0,0,0,0,1
211,NA,NA,CO,2024-06-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
212,0.595346178531265,0.4931065590974485,CO,2024-06-17,1,0,1,1,1,1,1,1,1,1,1,1,1,1
213,NA,NA,CO,2024-06-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
214,0.554703052528482,0.3453432794976645,CO,2024-06-19,0,1,1,1,1,1,1,0,0,1,1,1,1,1
215,NA,NA,CO,2024-06-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
216,0.637806964927062,0.4526887650718295,CO,2024-06-21,1,1,1,1,1,0,1,0,1,1,1,1,0,1
217,NA,NA,CO,2024-06-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
218,NA,NA,CO,2024-06-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
219,NA,NA,CO,2024-06-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220,0.965096082411931,0.51186268253354,CO,2024-06-25,1,1,1,1,0,1,1,0,1,1,1,0,1,1
221,0.650292999173745,0.3973167390295425,CO,2024-06-26,1,1,1,1,1,1,1,0,0,1,1,0,0,1
222,0.355288658902262,0.2426337555453395,CO,2024-06-27,1,1,1,1,1,1,1,1,1,0,1,1,1,0
223,0.631962288968007,0.506473230727265,CO,2024-06-28,1,0,1,1,1,1,1,1,0,0,1,1,1,1
224,NA,NA,CO,2024-06-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
225,NA,NA,CO,2024-06-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
226,0.63866428946781,0.5130691771977,CO,2024-07-01,1,0,1,1,1,1,1,1,0,1,1,0,1,1
227,NA,NA,CO,2024-07-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
