...1,es_score,brier_score,location,target_date,X23F_50_CI,X24A_50_CI,recombinant_50_CI,other_50_CI,X23F_95_CI,X24A_95_CI,recombinant_95_CI,other_95_CI
251,NA,NA,CO,2024-02-16,NA,NA,NA,NA,NA,NA,NA,NA
252,NA,NA,CO,2024-02-17,NA,NA,NA,NA,NA,NA,NA,NA
253,0.560608551594275,0.2626542694715975,CT,2024-01-07,1,1,1,1,0,0,1,1
254,0.837940338874907,0.106955596487984,CT,2024-01-08,1,1,1,1,1,0,1,0
255,0.552708188136287,0.01642193965071225,CT,2024-01-09,1,1,1,1,0,0,1,1
256,0.633218595967176,0.0143833818456766,CT,2024-01-10,1,1,1,1,0,0,1,1
257,0.401538289841209,0.0913120550620555,CT,2024-01-11,1,1,1,1,0,0,1,1
258,0.0674038324680477,0.0109903838202103,CT,2024-01-12,1,1,1,1,1,1,1,1
259,NA,NA,CT,2024-01-13,NA,NA,NA,NA,NA,NA,NA,NA
260,NA,NA,CT,2024-01-14,NA,NA,NA,NA,NA,NA,NA,NA
261,1.92953305767397,0.42616177475043,CT,2024-01-15,0,0,1,1,0,0,1,0
262,0.136458464627978,0.0063293658238513,CT,2024-01-16,1,1,1,1,0,0,1,1
263,0.303446800146149,0.00550026996126595,CT,2024-01-17,1,1,1,1,1,1,1,1
264,0.0311118715291073,0.004775711953174045,CT,2024-01-18,1,1,1,1,1,1,1,1
265,0.142124126233925,0.0041433148194091754,CT,2024-01-19,1,1,1,1,1,1,1,1
266,0.12033947294766,0.00359200955040218,CT,2024-01-20,1,1,1,1,0,0,1,1
267,0.0207717694443044,0.00311192788054622,CT,2024-01-21,1,1,1,1,1,1,1,1
268,0.210519775543236,0.00269429747100138,CT,2024-01-22,1,1,1,1,1,1,1,1
269,0.263632760799209,0.002331341025146245,CT,2024-01-23,1,1,1,1,0,0,1,1
270,0.0920364540269942,0.002016180430226475,CT,2024-01-24,1,1,1,1,1,1,1,1
271,1.04956508000299,0.189607219385977,CT,2024-01-25,1,0,1,0,1,0,1,0
272,0.0220414442572388,0.00150569586847343,CT,2024-01-26,1,1,1,1,1,1,1,1
273,NA,NA,CT,2024-01-27,NA,NA,NA,NA,NA,NA,NA,NA
274,0.00215422909745806,0.0011225351922254,CT,2024-01-28,1,1,1,1,1,1,1,1
275,1.08859081743536,0.1213473597330395,CT,2024-01-29,1,1,0,1,1,0,0,1
276,0.00573663716455519,8.35665549264105e-4,CT,2024-01-30,1,1,1,1,1,1,1,1
277,0.0052109945117997,7.20683252677775e-4,CT,2024-01-31,1,1,1,1,1,0,1,0
278,1.00870351170903,0.1593012484014835,CT,2024-02-01,0,0,1,1,0,0,1,1
279,0.0498503421058059,5.35570217894295e-4,CT,2024-02-02,1,1,1,1,1,1,1,1
280,NA,NA,CT,2024-02-03,NA,NA,NA,NA,NA,NA,NA,NA
281,6.4837449349325e-4,3.9763660863602e-4,CT,2024-02-04,1,1,1,1,1,1,1,1
282,0.0054661786837588,3.4252574715286e-4,CT,2024-02-05,1,1,1,1,1,1,1,1
283,1.16507700237017,0.1936733001266805,CT,2024-02-06,0,0,1,1,0,0,1,1
284,0.0064109367952335,2.5403334792032e-4,CT,2024-02-07,1,1,1,1,1,1,1,1
285,1.34945655080473,0.4897676312139585,CT,2024-02-08,1,0,1,0,1,0,1,0
286,0.00301558914008471,1.88298558404975e-4,CT,2024-02-09,1,1,1,1,1,1,1,1
