...1,es_score,brier_score,location,target_date,X21K_50_CI,X21L_50_CI,X22B_50_CI,X22C_50_CI,X22D_50_CI,X22E_50_CI,X23A_50_CI,X23D_50_CI,X23B_50_CI,other_50_CI,X21K_95_CI,X21L_95_CI,X22B_95_CI,X22C_95_CI,X22D_95_CI,X22E_95_CI,X23A_95_CI,X23D_95_CI,X23B_95_CI,other_95_CI
139,0.171843746177176,0.003871367206549065,AZ,2023-04-07,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
140,0.553663174111478,0.092403103190916,AZ,2023-04-08,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1
141,1.85118989990178,0.1408488191119885,AZ,2023-04-09,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0,0,1
142,1.95086675478059,0.139954051523505,AZ,2023-04-10,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0
143,3.67122725030103,0.2178527873466645,AZ,2023-04-11,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,0,0,1,0
144,0.0286303341119933,0.0054062169367266,AZ,2023-04-12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
145,0.202266660307318,0.0058315979008914,AZ,2023-04-13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
146,1.09618803733934,0.306873651604803,AZ,2023-04-14,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1
147,0.278198429588788,0.00683524732671605,AZ,2023-04-15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
148,1.48874497340284,0.2578528049336195,AZ,2023-04-16,1,1,0,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,0,1
149,1.22779917665145,0.1070159564344465,AZ,2023-04-17,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0
150,1.33825087117645,0.176206659448346,AZ,2023-04-18,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,1
151,1.74802737313468,0.0448353320269972,AZ,2023-04-19,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,0,0
152,3.91994860905013,0.245229428506683,AZ,2023-04-20,1,0,1,1,1,1,0,0,1,0,1,0,1,1,1,1,0,0,0,0
153,1.16103222570967,0.824281086288555,AZ,2023-04-21,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,0,1
154,0.126703170012459,0.01264113338556245,AZ,2023-04-22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
155,1.32276976293679,0.0747844252599105,AZ,2023-04-23,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1
156,1.69640298441517,0.04970847214494865,AZ,2023-04-24,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,0,1
