...1,es_score,brier_score,location,target_date,X22E_50_CI,X22F_50_CI,X23A_50_CI,X23D_50_CI,X23B_50_CI,X23E_50_CI,other_50_CI,X22E_95_CI,X22F_95_CI,X23A_95_CI,X23D_95_CI,X23B_95_CI,X23E_95_CI,other_95_CI
152,1.12835973816524,0.0743391614391835,AZ,2023-05-04,1,1,1,1,1,1,1,1,1,0,1,0,1,1
153,1.49032798264858,0.251945478363213,AZ,2023-05-05,1,0,1,0,1,1,1,1,0,0,1,0,1,1
154,0.85876255420244,0.0220455922573911,AZ,2023-05-06,1,1,0,1,1,1,1,1,1,1,1,1,1,1
155,3.43455004078668,0.3111953637610095,AZ,2023-05-07,0,0,0,1,1,0,1,0,0,0,0,0,0,1
156,6.97327196805551,0.3139906402032135,AZ,2023-05-08,1,0,0,0,0,1,0,1,0,0,0,0,1,0
157,3.7472964686979,0.1026923428025865,AZ,2023-05-09,1,1,0,1,0,1,0,1,1,0,0,0,1,0
158,2.71540404231204,0.1451310137319975,AZ,2023-05-10,1,0,1,1,0,1,1,1,0,0,0,0,1,1
159,0.170014275504072,0.03128262483686025,AZ,2023-05-11,1,1,1,1,1,1,1,1,1,1,1,1,1,1
160,1.11381531860166,0.1450943135833605,AZ,2023-05-12,1,0,1,1,1,1,1,1,0,1,1,1,0,1
161,NA,NA,AZ,2023-05-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
162,1.31322851803515,0.3692807285682205,AZ,2023-05-14,1,1,1,1,0,1,1,1,1,0,0,0,1,1
163,2.7923271331288,0.213447583530831,AZ,2023-05-15,1,0,1,1,0,1,0,1,0,0,0,0,1,0
164,2.35642272530921,0.1988024420724625,AZ,2023-05-16,0,1,1,1,0,1,1,0,1,1,0,0,1,1
165,1.1555886717337,0.178782733072988,AZ,2023-05-17,1,1,1,1,1,1,1,1,1,1,1,1,1,1
166,0.88483759065941,0.252332572056964,AZ,2023-05-18,1,1,1,1,0,1,1,1,1,1,0,0,1,1
167,0.909652752654101,0.660431065982125,AZ,2023-05-19,1,1,1,0,1,1,1,1,1,0,0,1,1,1
168,1.82004717900022,0.652648095606415,AZ,2023-05-20,1,1,0,0,1,1,1,1,1,0,0,0,1,1
169,0.583565754662908,0.068511788429647,CA,2023-04-09,1,1,1,1,1,1,1,0,1,0,1,0,1,1
170,10.1149678785647,0.1929479588581665,CA,2023-04-10,0,1,0,0,1,1,0,0,0,0,0,0,0,0
171,2.54847575699245,0.1062503136151355,CA,2023-04-11,1,1,1,1,0,1,1,0,0,0,1,1,1,1
172,9.33699140901485,0.2152147088557745,CA,2023-04-12,0,1,0,0,0,1,0,0,1,0,0,0,0,1
173,2.23536081847894,0.143752942374225,CA,2023-04-13,1,0,1,1,1,1,0,1,0,1,0,0,0,0
174,4.21202590280198,0.076477105812999,CA,2023-04-14,1,1,0,0,1,1,1,1,1,0,1,0,1,1
175,3.3765390348029,0.1478789569326465,CA,2023-04-15,0,0,1,0,1,1,0,0,0,0,0,0,1,0
176,2.78170448942523,0.147937991271136,CA,2023-04-16,1,0,1,0,0,1,0,1,0,0,0,0,1,0
