"","es_score","brier_score","location","target_date","X22F_50_CI","X23B_50_CI","X23C_50_CI","X23D_50_CI","X23E_50_CI","X23F_50_CI","X23G_50_CI","other_50_CI","X23A_50_CI","X22F_95_CI","X23B_95_CI","X23C_95_CI","X23D_95_CI","X23E_95_CI","X23F_95_CI","X23G_95_CI","other_95_CI","X23A_95_CI"
"117",NA,NA,"AR",2023-06-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118",NA,NA,"AR",2023-06-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119",NA,NA,"AR",2023-07-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120",NA,NA,"AR",2023-07-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121",NA,NA,"AR",2023-07-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122",NA,NA,"AR",2023-07-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123",NA,NA,"AR",2023-07-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124",NA,NA,"AR",2023-07-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125",NA,NA,"AR",2023-07-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126",NA,NA,"AR",2023-07-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127",1.97771718302216,0.600658359356564,"AZ",2023-05-28,0,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,0
"128",2.04803160010388,0.63913944788791,"AZ",2023-05-29,1,0,1,1,1,1,1,0,1,0,0,1,0,0,1,1,0,0
"129",1.22199918156074,0.688501187806277,"AZ",2023-05-30,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0
"130",2.76444951078212,0.562684621392989,"AZ",2023-05-31,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,1,0,0
"131",1.86520448579026,0.799260615148679,"AZ",2023-06-01,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0
"132",0.873073571138717,0.636363962142553,"AZ",2023-06-02,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1
"133",1.71042258115525,0.549241950055346,"AZ",2023-06-03,1,0,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,0
"134",1.35216583675123,0.496745946523136,"AZ",2023-06-04,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,0
"135",1.43016167993988,0.552526836623851,"AZ",2023-06-05,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,1,0
"136",1.15934935600243,0.758560573958704,"AZ",2023-06-06,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1
"137",1.49309229206732,0.640982356128779,"AZ",2023-06-07,1,1,1,1,1,0,1,1,0,1,0,1,1,1,0,1,1,1
"138",1.3430331067796,0.715918259260612,"AZ",2023-06-08,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,1,1
"139",0.992459653716655,0.771319240143611,"AZ",2023-06-09,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0
"140",0.991629362066747,0.878948374041693,"AZ",2023-06-10,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0
"141",2.37447169666172,0.596051691323314,"AZ",2023-06-11,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,0
"142",1.51519272021699,0.720124904866317,"AZ",2023-06-12,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
"143",1.66503843478531,0.853730163146171,"AZ",2023-06-13,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,0
"144",2.54985658872978,0.616599951594722,"AZ",2023-06-14,1,1,1,0,1,1,1,1,0,0,1,1,0,0,1,0,1,0
"145",1.1882244935299,1.13607262488793,"AZ",2023-06-15,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,0,1
"146",2.14426299277317,0.655203404363888,"AZ",2023-06-16,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,0
"147",0.466173795924466,0.631102293496727,"AZ",2023-06-17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"148",4.41362150299643,0.733059748830438,"AZ",2023-06-18,0,0,1,0,0,1,1,1,1,0,0,1,1,0,1,1,1,0
"149",4.95116215292435,0.836887507537512,"AZ",2023-06-19,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0
"150",1.67340265306918,0.802441091986823,"AZ",2023-06-20,0,1,1,1,0,1,1,1,1,1,0,1,0,0,1,1,1,0
"151",3.05471086605117,0.794461633698735,"AZ",2023-06-21,1,0,1,1,0,1,1,1,0,1,0,1,1,0,1,0,1,0
"152",2.54067834890041,0.864264380075172,"AZ",2023-06-22,0,0,1,1,1,0,1,0,0,0,0,1,0,1,0,1,0,0
"153",0.530642966505212,0.743085860133484,"AZ",2023-06-23,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0
"154",0.828462837134895,0.711413503255153,"AZ",2023-06-24,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0
