...1,es_score,brier_score,location,target_date,X22F_50_CI,X23A_50_CI,X23C_50_CI,X23D_50_CI,other_50_CI,X22E_50_CI,X22F_95_CI,X23A_95_CI,X23C_95_CI,X23D_95_CI,other_95_CI,X22E_95_CI
211,0.491856868682189,0.202503616619762,CO,2023-02-19,1,1,1,1,1,1,1,1,1,1,0,0
212,0.626090655047789,0.1412869241578845,CO,2023-02-20,1,1,1,1,1,1,1,0,1,1,1,0
213,0.681792419109301,0.061901000991526,CO,2023-02-21,1,1,1,1,1,1,1,0,1,0,1,0
214,0.884764080754017,0.1564419644186295,CO,2023-02-22,0,1,1,1,1,1,0,0,1,1,1,0
215,0.355532456080767,0.011192084141827,CO,2023-02-23,1,1,1,1,1,1,1,1,1,1,1,1
216,0.584376885099486,0.01003440067914845,CO,2023-02-24,1,1,1,1,1,1,1,0,1,1,1,0
217,0.15487262158871,0.00899620396159275,CO,2023-02-25,1,1,1,1,1,1,1,1,1,1,1,1
218,0.142309843096885,0.00806597720741635,CO,2023-02-26,1,1,1,1,1,1,1,1,1,1,1,1
219,0.385137211957418,0.0627950839400735,CO,2023-02-27,1,1,1,1,1,1,1,0,1,1,1,0
220,1.38632354474415,0.158555751834872,CO,2023-02-28,0,0,1,1,1,1,0,0,1,1,1,0
221,1.06196842695701,0.00582198680274835,CO,2023-03-01,1,0,1,1,1,1,1,1,1,1,1,1
222,0.292954824712007,0.0052268143772295,CO,2023-03-02,1,1,1,1,1,1,1,1,1,1,1,1
223,0.123932674508843,0.004695310638177415,CO,2023-03-03,1,1,1,1,1,1,1,1,1,1,1,1
224,1.1532905688639,0.311701370874271,CO,2023-03-04,1,0,1,1,0,1,1,0,1,1,0,1
225,0.138724357044877,0.003797597560030035,CO,2023-03-05,1,1,1,1,1,1,1,1,1,1,1,1
226,1.55617847056122,0.230513389194959,CO,2023-03-06,1,0,1,1,0,1,1,0,1,1,0,0
227,0.433902795519599,0.0717604247768925,CO,2023-03-07,1,1,1,1,1,1,1,0,1,0,1,1
228,0.511081188302344,0.084458967256241,CO,2023-03-08,1,1,1,1,1,1,1,1,1,0,1,0
229,0.0768846409252995,0.00251597089529707,CO,2023-03-09,1,1,1,1,1,1,1,0,0,1,1,1
