"","es_score","brier_score","location","target_date","X23E_50_CI","X23F_50_CI","other_50_CI","X24A_50_CI","X23E_95_CI","X23F_95_CI","other_95_CI","X24A_95_CI"
"270",0.00827085775515198,0.000794096089036846,"CT",2024-02-07,1,1,1,1,1,1,1,1
"271",1.33808906656139,0.971658630811032,"CT",2024-02-08,1,1,0,0,1,1,0,0
"272",0.00384252125250271,0.000592970592612434,"CT",2024-02-09,1,1,1,1,1,1,1,1
"273",NA,NA,"CT",2024-02-10,NA,NA,NA,NA,NA,NA,NA,NA
"274",0.000394975706719584,0.000442436339627913,"CT",2024-02-11,1,1,1,1,1,1,1,1
"275",0.00927922148779894,0.000382073940247237,"CT",2024-02-12,1,1,1,1,1,1,1,1
"276",NA,NA,"CT",2024-02-13,NA,NA,NA,NA,NA,NA,NA,NA
"277",0.000173085597895552,0.00028480328511696,"CT",2024-02-14,1,1,1,1,1,1,1,1
"278",0.000153131044431355,0.000245842105078165,"CT",2024-02-15,1,1,1,1,1,1,1,1
"279",NA,NA,"CT",2024-02-16,NA,NA,NA,NA,NA,NA,NA,NA
"280",0.000125313463544507,0.000183116283211965,"CT",2024-02-17,1,1,1,1,1,1,1,1
"281",NA,NA,"CT",2024-02-18,NA,NA,NA,NA,NA,NA,NA,NA
"282",0.000392416597252289,0.00013633974343629,"CT",2024-02-19,1,1,1,1,1,1,1,1
"283",NA,NA,"CT",2024-02-20,NA,NA,NA,NA,NA,NA,NA,NA
"284",0.000675288142650075,0.000101477938029662,"CT",2024-02-21,1,1,1,1,1,1,1,1
"285",1.38103097799119,0.987688883288164,"CT",2024-02-22,1,0,1,0,1,0,1,0
"286",0.000237680018874923,7.55091147972842e-05,"CT",2024-02-23,1,1,1,1,1,1,1,1
"287",NA,NA,"CT",2024-02-24,NA,NA,NA,NA,NA,NA,NA,NA
"288",0.000287356345165957,5.61729499228954e-05,"CT",2024-02-25,1,1,1,1,1,1,1,1
"289",2.69690525859902e-05,4.84461873758158e-05,"CT",2024-02-26,1,1,1,1,1,1,1,1
"290",0.000118072690116596,4.17805120509395e-05,"CT",2024-02-27,1,1,1,1,1,1,1,1
"291",2.35890821834372e-05,3.60306100754897e-05,"CT",2024-02-28,1,1,1,1,1,1,1,1
"292",0.000174980644097839,3.10709807224824e-05,"CT",2024-02-29,1,1,1,1,1,1,1,1
