"","es_score","brier_score","location","target_date","X22A_50_CI","X22D_50_CI","X22E_50_CI","X22F_50_CI","X23A_50_CI","X23C_50_CI","other_50_CI","X22B_50_CI","X22A_95_CI","X22D_95_CI","X22E_95_CI","X22F_95_CI","X23A_95_CI","X23C_95_CI","other_95_CI","X22B_95_CI"
"135",16.5700294481136,0.634340712391986,"AZ",2022-12-05,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
"136",4.93850741426446,0.577888455629107,"AZ",2022-12-06,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0
"137",6.97880098246932,0.527773854898028,"AZ",2022-12-07,1,1,1,1,0,1,1,0,0,1,0,0,0,1,0,0
"138",2.12258318111801,0.47806467639387,"AZ",2022-12-08,1,0,1,1,0,0,1,1,1,0,0,1,0,1,1,0
"139",4.25342994896374,0.544287909131819,"AZ",2022-12-09,0,1,1,0,1,1,1,0,0,0,0,0,1,1,1,0
"140",2.91185496717079,0.604921149922316,"AZ",2022-12-10,1,1,0,0,0,1,1,0,1,0,0,0,1,1,1,0
"141",3.36322534519954,0.430036218951875,"AZ",2022-12-11,1,1,0,1,0,0,1,1,1,1,0,0,0,0,1,0
"142",7.95239526838375,0.5972223361044,"AZ",2022-12-12,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0
"143",8.63207925032744,0.572302883441456,"AZ",2022-12-13,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"144",6.28494859041728,0.492967268011163,"AZ",2022-12-14,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0
"145",5.69728915999877,0.537662269659086,"AZ",2022-12-15,1,1,1,1,0,1,1,0,0,1,0,0,0,0,1,0
"146",4.47914192453297,0.497306980509041,"AZ",2022-12-16,1,1,1,1,0,1,0,0,1,0,0,1,0,1,0,0
"147",3.39703289505204,0.627108205223204,"AZ",2022-12-17,1,0,1,1,0,1,1,0,1,0,0,0,0,1,1,0
"148",4.28920467025138,0.4740917961039,"AZ",2022-12-18,1,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0
"149",17.2145692662973,0.530837261239228,"AZ",2022-12-19,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"150",7.80994191603647,0.635655595464744,"AZ",2022-12-20,1,1,1,1,0,1,1,0,1,0,0,0,0,0,1,0
"151",7.58299516699816,0.625402429398717,"AZ",2022-12-21,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,0
"152",4.9276495159074,0.453994062100556,"AZ",2022-12-22,1,1,0,1,0,1,1,1,0,0,0,0,0,1,1,0
"153",5.2414197167557,0.584992285656229,"AZ",2022-12-23,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"154",1.93523484237407,0.593715199339368,"AZ",2022-12-24,1,0,1,1,0,1,1,1,1,0,1,1,0,1,1,0
"155",0.255946463421846,0.329551544917714,"AZ",2022-12-25,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1
"156",15.9369365635465,0.644214723929207,"AZ",2022-12-26,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"157",32.348944841799,0.623721940365566,"AZ",2022-12-27,1,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0
"158",9.7741497762065,0.745689451627422,"AZ",2022-12-28,1,1,0,0,0,1,1,0,1,0,0,0,0,1,1,0
"159",8.3268767046886,0.762990476299841,"AZ",2022-12-29,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0
"160",12.1056659958409,0.781543196827922,"AZ",2022-12-30,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0
"161",6.73331050547764,0.790475996122331,"AZ",2022-12-31,1,0,0,1,0,1,1,1,1,0,0,0,0,1,1,0
"162",3.47564742682356,0.715539372849661,"AZ",2023-01-01,1,1,0,1,0,1,1,1,1,1,0,0,0,1,1,1
"163",36.9519708239398,0.921257443221237,"AZ",2023-01-02,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"164",32.0245961152424,0.967368068918631,"AZ",2023-01-03,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0
"165",21.7420058128594,0.941485120945419,"AZ",2023-01-04,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0
"166",17.7480265381512,1.09240874652159,"AZ",2023-01-05,1,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0
"167",22.9970603910338,1.17264729805251,"AZ",2023-01-06,1,1,0,0,0,1,1,0,1,0,0,0,0,1,1,0
"168",5.12671798708934,1.21031179540326,"AZ",2023-01-07,1,1,0,1,0,1,1,0,1,1,0,1,0,1,1,0
"169",12.7257719337896,0.596472303512077,"CA",2022-11-27,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"170",15.565524020855,0.547475625021526,"CA",2022-11-28,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"171",14.7233565986415,0.53996022931211,"CA",2022-11-29,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"172",7.19221431889727,0.52132830882697,"CA",2022-11-30,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0
"173",6.37100672954176,0.53476884005331,"CA",2022-12-01,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0
"174",21.6629177345076,0.576538143791722,"CA",2022-12-02,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
"175",23.1211307084474,0.571264026422104,"CA",2022-12-03,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"176",9.33858550895591,0.545852077194802,"CA",2022-12-04,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"177",19.6515492920984,0.518037503383538,"CA",2022-12-05,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"178",8.73182283662621,0.490511131846359,"CA",2022-12-06,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0
"179",22.658819911297,0.524621009623998,"CA",2022-12-07,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"180",16.7205360534769,0.472019602610873,"CA",2022-12-08,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0
"181",20.6099960531125,0.44301514964594,"CA",2022-12-09,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0
"182",38.6875268617453,0.55068482227276,"CA",2022-12-10,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
"183",25.9297792194368,0.491542451140363,"CA",2022-12-11,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"184",24.2445692737121,0.464226947957416,"CA",2022-12-12,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
"185",24.7996705655757,0.493887626183067,"CA",2022-12-13,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"186",27.112409212513,0.563964171661013,"CA",2022-12-14,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
"187",38.9117571176212,0.461346214058922,"CA",2022-12-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"188",24.6636158151321,0.482685651250686,"CA",2022-12-16,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0
"189",29.3269613810323,0.531295782862911,"CA",2022-12-17,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0
"190",43.6695276541371,0.432468835321933,"CA",2022-12-18,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"191",61.7292422107849,0.48238621190141,"CA",2022-12-19,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"192",57.9211619850012,0.413380268441683,"CA",2022-12-20,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"193",67.9344143729422,0.494669766184816,"CA",2022-12-21,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"194",107.471844317297,0.553354421238388,"CA",2022-12-22,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"195",167.9313094607,0.523736926510896,"CA",2022-12-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"196",60.6267937485079,0.574821057211966,"CA",2022-12-24,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"197",1.10972197355654,0.329551544917714,"CA",2022-12-25,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
"198",195.318248249241,0.614957879633604,"CA",2022-12-26,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"199",214.057970753526,0.6461172987738,"CA",2022-12-27,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"200",249.975805230628,0.651805265633012,"CA",2022-12-28,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"201",180.14618216172,0.704464236355664,"CA",2022-12-29,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"202",191.388985481224,0.798740394458178,"CA",2022-12-30,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"203",65.4224410156859,0.840509896563034,"CA",2022-12-31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"204",6.36154815983248,0.711373015894285,"CA",2023-01-01,1,0,0,1,0,1,1,1,1,0,0,1,0,1,1,1
"205",221.399749340159,0.917737507942762,"CA",2023-01-02,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"206",157.757847608383,0.965836500586257,"CA",2023-01-03,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"207",128.459138385697,0.977663989405796,"CA",2023-01-04,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"208",151.669708602881,1.00974471025145,"CA",2023-01-05,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"209",134.026668846157,0.993157464525574,"CA",2023-01-06,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
