...1,es_score,brier_score,location,target_date,X22A_50_CI,other_50_CI,X22B_50_CI,X22A_95_CI,other_95_CI,X22B_95_CI
224,0.281174847287178,0.00808010286261005,CO,2022-09-10,1,1,1,1,1,1
225,1.51972539142742,0.2966367532638595,CO,2022-09-11,1,0,0,1,0,0
226,1.32965834079845,0.1451565904088305,CO,2022-09-12,0,1,0,0,1,0
227,0.323728129314642,0.099379810081261,CO,2022-09-13,1,1,1,1,1,1
228,1.08959627341763,0.0834061795355865,CO,2022-09-14,1,0,1,0,0,1
229,0.455537208940763,0.00706353242957975,CO,2022-09-15,1,1,1,0,1,0
230,1.04887582461063,0.00687614874624785,CO,2022-09-16,1,1,1,0,1,0
231,0.298687985255792,0.082727556654307,CO,2022-09-17,1,1,1,0,1,0
232,0.727477570034427,0.2161554534276755,CO,2022-09-18,1,1,1,1,1,1
233,0.635576252161286,0.04137290642767145,CO,2022-09-19,1,1,1,1,1,1
234,2.88021242486895,0.2266318425117085,CO,2022-09-20,1,0,0,0,0,0
235,1.68173153692626,0.1692483104724425,CO,2022-09-21,1,0,0,0,0,1
236,1.25248947132086,0.1752543026701585,CO,2022-09-22,0,1,0,0,1,0
237,1.07445269888569,0.076777383105974,CO,2022-09-23,1,0,1,0,0,0
238,0.895214257856037,0.2892381941285615,CO,2022-09-24,0,1,0,0,1,0
239,0.582238360770287,0.1475760142089845,CO,2022-09-25,1,1,1,0,1,0
240,1.08743824737042,0.1166408813355185,CO,2022-09-26,1,0,1,0,0,1
241,0.492875386121833,0.0051132836901635,CO,2022-09-27,1,1,1,0,1,0
242,0.746820494718461,0.004977081123941595,CO,2022-09-28,1,1,1,0,1,0
243,0.359284568669972,0.04788425604872705,CO,2022-09-29,1,1,1,1,1,1
244,0.54657459530529,0.1279530996926925,CO,2022-09-30,1,1,1,1,1,1
245,0.0863303998089366,0.00458944125508117,CO,2022-10-01,1,1,1,1,1,1
246,0.0821161053638928,0.00446691536770871,CO,2022-10-02,1,1,1,1,1,1
247,0.31657464724807,0.0711266427091755,CO,2022-10-03,1,1,1,0,1,0
248,0.114947262914151,0.004231378705576935,CO,2022-10-04,1,1,1,1,1,1
249,0.455367033777264,0.1009686119468975,CO,2022-10-05,1,1,1,0,1,0
250,0.497023142332517,0.1131808354118815,CO,2022-10-06,1,1,1,1,1,1
