...1,es_score,brier_score,location,target_date,X23H_50_CI,X24A_50_CI,recombinant_50_CI,other_50_CI,X23H_95_CI,X24A_95_CI,recombinant_95_CI,other_95_CI
207,1.35506320454877,0.0766764830001485,CA,2024-03-20,1,0,0,1,1,0,0,1
208,2.38150166336272,0.16612371298348,CA,2024-03-21,1,0,0,0,1,0,0,0
209,3.65939316388122,0.1869131932228435,CA,2024-03-22,1,0,0,0,1,0,0,0
210,1.38211539756498,0.1246569046828095,CA,2024-03-23,1,0,0,1,1,0,0,1
211,NA,NA,CO,2024-02-11,NA,NA,NA,NA,NA,NA,NA,NA
212,0.00292263897031769,4.65494743656585e-4,CO,2024-02-12,1,1,1,1,1,1,1,1
213,1.34222129563519,0.487183015612479,CO,2024-02-13,1,0,0,1,1,0,0,1
214,NA,NA,CO,2024-02-14,NA,NA,NA,NA,NA,NA,NA,NA
215,5.1186045799903e-4,3.1351025343843e-4,CO,2024-02-15,1,1,1,1,1,1,1,1
216,NA,NA,CO,2024-02-16,NA,NA,NA,NA,NA,NA,NA,NA
217,NA,NA,CO,2024-02-17,NA,NA,NA,NA,NA,NA,NA,NA
218,NA,NA,CO,2024-02-18,NA,NA,NA,NA,NA,NA,NA,NA
219,NA,NA,CO,2024-02-19,NA,NA,NA,NA,NA,NA,NA,NA
220,2.5239469478323e-4,1.62510003519615e-4,CO,2024-02-20,1,1,1,1,1,1,1,1
221,0.00317879323876506,1.4255540542406e-4,CO,2024-02-21,1,1,1,1,1,1,1,1
222,NA,NA,CO,2024-02-22,NA,NA,NA,NA,NA,NA,NA,NA
223,1.37426790289443,0.4928734200287175,CO,2024-02-23,1,0,0,1,1,0,0,1
224,NA,NA,CO,2024-02-24,NA,NA,NA,NA,NA,NA,NA,NA
225,NA,NA,CO,2024-02-25,NA,NA,NA,NA,NA,NA,NA,NA
226,0.00103930880606809,7.426222194733e-5,CO,2024-02-26,1,1,1,1,1,1,1,1
227,6.98197234398623e-5,6.5226279924735e-5,CO,2024-02-27,1,1,1,1,1,1,1,1
228,8.31274730417868e-5,5.730477005222e-5,CO,2024-02-28,1,1,1,1,1,1,1,1
229,3.6309933288244e-4,5.0359137254195e-5,CO,2024-02-29,1,1,1,1,1,1,1,1
230,NA,NA,CO,2024-03-01,NA,NA,NA,NA,NA,NA,NA,NA
231,NA,NA,CO,2024-03-02,NA,NA,NA,NA,NA,NA,NA,NA
232,NA,NA,CO,2024-03-03,NA,NA,NA,NA,NA,NA,NA,NA
233,1.888540792011e-4,3.012554248224215e-5,CO,2024-03-04,1,1,1,1,1,1,1,1
234,NA,NA,CO,2024-03-05,NA,NA,NA,NA,NA,NA,NA,NA
235,NA,NA,CO,2024-03-06,NA,NA,NA,NA,NA,NA,NA,NA
236,NA,NA,CO,2024-03-07,NA,NA,NA,NA,NA,NA,NA,NA
237,2.45366052615556e-5,1.81192855982136e-5,CO,2024-03-08,1,1,1,1,1,1,1,1
238,NA,NA,CO,2024-03-09,NA,NA,NA,NA,NA,NA,NA,NA
239,NA,NA,CO,2024-03-10,NA,NA,NA,NA,NA,NA,NA,NA
240,NA,NA,CO,2024-03-11,NA,NA,NA,NA,NA,NA,NA,NA
241,7.37936635415212e-5,1.096531770177355e-5,CO,2024-03-12,1,1,1,1,1,1,1,1
242,1.96999948955225e-5,9.68154184048435e-6,CO,2024-03-13,1,1,1,1,1,1,1,1
243,NA,NA,CO,2024-03-14,NA,NA,NA,NA,NA,NA,NA,NA
244,5.61442785172381e-6,7.5572883945247e-6,CO,2024-03-15,1,1,1,1,1,1,1,1
245,NA,NA,CO,2024-03-16,NA,NA,NA,NA,NA,NA,NA,NA
246,NA,NA,CO,2024-03-17,NA,NA,NA,NA,NA,NA,NA,NA
247,1.62210295436014e-5,5.2299426253028e-6,CO,2024-03-18,1,1,1,1,1,1,1,1
248,NA,NA,CO,2024-03-19,NA,NA,NA,NA,NA,NA,NA,NA
249,NA,NA,CO,2024-03-20,NA,NA,NA,NA,NA,NA,NA,NA
250,NA,NA,CO,2024-03-21,NA,NA,NA,NA,NA,NA,NA,NA
251,NA,NA,CO,2024-03-22,NA,NA,NA,NA,NA,NA,NA,NA
252,NA,NA,CO,2024-03-23,NA,NA,NA,NA,NA,NA,NA,NA
