...1,es_score,brier_score,location,target_date,X22F_50_CI,X23A_50_CI,X23B_50_CI,X23D_50_CI,other_50_CI,X22E_50_CI,X22F_95_CI,X23A_95_CI,X23B_95_CI,X23D_95_CI,other_95_CI,X22E_95_CI
238,0.00908510589536878,0.0061252314889441,CO,2023-03-25,1,1,1,1,1,1,1,1,1,1,1,1
239,0.884509941844849,0.183521969844504,CO,2023-03-26,1,1,1,0,1,1,1,0,1,0,1,1
240,0.334855596368515,0.0090713453649848,CO,2023-03-27,1,1,1,1,1,1,1,1,1,1,1,1
241,0.29409905016786,0.01121155810401885,CO,2023-03-28,1,1,1,1,1,1,1,0,0,1,1,1
242,0.447617986136411,0.01395490727238125,CO,2023-03-29,1,1,1,1,1,1,1,1,1,1,1,1
243,0.397108249859484,0.01745192502446005,CO,2023-03-30,1,1,1,1,1,1,1,1,1,1,1,1
244,NA,NA,CO,2023-03-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
245,0.0444525364412744,0.02744707933076925,CO,2023-04-01,1,1,1,1,1,1,1,0,0,1,1,1
246,NA,NA,CO,2023-04-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
247,1.04920533521377,0.169623654578733,CO,2023-04-03,1,1,1,0,1,1,1,1,0,0,1,1
248,0.259769138830275,0.053362202694359,CO,2023-04-04,1,1,1,1,1,1,1,0,0,1,1,1
249,0.108580319099099,0.0659206236767675,CO,2023-04-05,1,1,1,1,1,1,1,0,0,1,1,1
250,1.47657361921285,0.080839860951207,CO,2023-04-06,1,0,0,1,1,1,1,0,0,1,1,1
251,NA,NA,CO,2023-04-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
