...1,es_score,brier_score,location,target_date,X23A_50_CI,X23B_50_CI,X23I_50_CI,X24A_50_CI,other_50_CI,X23F_50_CI,X23A_95_CI,X23B_95_CI,X23I_95_CI,X24A_95_CI,other_95_CI,X23F_95_CI
207,5.62692142573282,0.087698724025164,CA,2024-02-07,1,0,1,0,0,0,0,0,1,0,0,0
208,1.35913974592922,0.03390222201482835,CA,2024-02-08,0,1,1,0,1,1,0,1,0,0,1,0
209,8.94451719863248,0.1208384567039435,CA,2024-02-09,1,1,0,0,0,1,1,1,0,0,0,0
210,5.86435729930486,0.150918025059651,CA,2024-02-10,0,1,1,0,0,0,0,1,0,0,0,0
211,NA,NA,CO,2023-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
212,0.927538255028728,0.650272346461135,CO,2024-01-01,1,1,1,0,1,0,1,1,1,0,1,0
213,2.29910370003307,0.4162332414408895,CO,2024-01-02,1,1,1,0,1,0,1,0,1,0,1,0
214,0.395281264880598,0.16451685341956,CO,2024-01-03,1,1,1,1,1,1,1,1,1,1,1,1
215,0.71359508847892,0.366059561416808,CO,2024-01-04,1,1,1,1,1,0,1,1,1,1,1,1
216,1.29875787384179,0.337028867683652,CO,2024-01-05,1,0,1,1,0,1,1,0,1,0,0,1
217,NA,NA,CO,2024-01-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
218,NA,NA,CO,2024-01-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
219,2.14660234772117,0.76295912344343,CO,2024-01-08,1,1,1,0,1,0,1,1,1,0,1,0
220,0.0225767032532965,0.01608827854333365,CO,2024-01-09,1,1,1,1,1,1,1,1,1,1,1,1
221,1.11368855584899,0.79009446487693,CO,2024-01-10,1,1,1,0,1,0,1,1,1,0,1,0
222,0.132956765050501,0.0123390007875321,CO,2024-01-11,1,1,1,1,1,1,1,1,1,1,1,1
223,1.08019986099375,0.4362336032167435,CO,2024-01-12,1,1,1,0,0,1,1,1,1,0,0,1
224,0.0126943344600687,0.00941830485405165,CO,2024-01-13,1,1,1,1,1,1,1,1,1,1,1,1
225,NA,NA,CO,2024-01-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
226,0.010160544594844,0.00715955476569695,CO,2024-01-15,1,1,1,1,1,1,1,1,1,1,1,1
227,0.0086375638705872,0.00623393908971205,CO,2024-01-16,1,1,1,1,1,1,1,1,1,1,1,1
228,0.02757816377839,0.00542370510449575,CO,2024-01-17,1,1,1,1,1,1,1,1,1,1,1,1
229,0.0532827430365513,0.00471538958362041,CO,2024-01-18,1,1,1,1,1,1,1,1,1,1,1,1
230,0.0208648894782321,0.004096912842954495,CO,2024-01-19,1,1,1,1,1,1,1,1,1,1,1,1
231,NA,NA,CO,2024-01-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
232,NA,NA,CO,2024-01-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
233,0.075239251928683,0.00267828065599947,CO,2024-01-22,1,1,1,1,1,1,1,1,1,1,1,1
234,0.0120734978420823,0.002322391324610175,CO,2024-01-23,1,1,1,1,1,1,1,1,1,1,1,1
235,NA,NA,CO,2024-01-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
236,NA,NA,CO,2024-01-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
237,0.00754501987448865,0.00151125308998438,CO,2024-01-26,1,1,1,1,1,1,1,1,1,1,1,1
238,NA,NA,CO,2024-01-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
239,NA,NA,CO,2024-01-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
240,0.0177778931543393,9.8155497487081e-4,CO,2024-01-29,1,1,1,1,1,1,1,1,1,1,1,1
241,0.0011104546342894,8.4985243765695e-4,CO,2024-01-30,1,1,1,1,1,1,1,1,1,1,1,1
242,0.00103069298923524,7.35786462964745e-4,CO,2024-01-31,1,1,1,1,1,1,1,1,1,1,1,1
243,0.0132270338392791,6.37022726841545e-4,CO,2024-02-01,1,1,1,1,1,1,1,1,1,0,1,0
244,0.00627759292915106,5.5152814414122e-4,CO,2024-02-02,1,1,1,1,1,1,1,1,1,0,1,0
245,NA,NA,CO,2024-02-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,NA,NA,CO,2024-02-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
247,5.4075284140765e-4,3.58097328149785e-4,CO,2024-02-05,1,1,1,1,1,1,1,1,1,1,1,1
248,4.1785768241654e-4,3.10160622848925e-4,CO,2024-02-06,1,1,1,1,1,1,1,1,1,1,1,1
