...1,es_score,brier_score,location,target_date,X22F_50_CI,X23A_50_CI,X23B_50_CI,X23C_50_CI,X23D_50_CI,X23E_50_CI,X23F_50_CI,X23G_50_CI,other_50_CI,X22F_95_CI,X23A_95_CI,X23B_95_CI,X23C_95_CI,X23D_95_CI,X23E_95_CI,X23F_95_CI,X23G_95_CI,other_95_CI
110,NA,NA,AR,2023-07-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
111,0.719127271065149,0.409886877426511,AR,2023-07-21,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1
112,NA,NA,AR,2023-07-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
113,NA,NA,AR,2023-07-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
114,NA,NA,AR,2023-07-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
115,NA,NA,AR,2023-07-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
116,1.24741596532575,0.501813599471205,AR,2023-07-26,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,0,1,1
117,NA,NA,AR,2023-07-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
118,2.18662179936829,0.487519672411093,AR,2023-07-28,1,0,0,1,0,1,0,1,1,0,0,0,1,1,1,0,1,1
119,NA,NA,AR,2023-07-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,NA,NA,AR,2023-07-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
121,0.722374814522886,0.382436780420858,AR,2023-07-31,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1
122,2.52237930031679,0.4686911814742915,AR,2023-08-01,0,0,1,1,1,0,1,1,1,0,0,0,1,1,0,1,1,0
123,2.11300385420564,0.3756975135061615,AR,2023-08-02,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0
