...1,es_score,brier_score,location,target_date,X24A_50_CI,X24B_50_CI,recombinant_50_CI,X24C_50_CI,X24D_50_CI,X24G_50_CI,other_50_CI,X24A_95_CI,X24B_95_CI,recombinant_95_CI,X24C_95_CI,X24D_95_CI,X24G_95_CI,other_95_CI
152,0.536047272690019,0.266007912566413,AZ,2024-05-09,1,1,1,1,1,1,1,0,0,1,1,1,1,1
153,2.48732264885846,0.51788166632543,AZ,2024-05-10,0,0,1,1,1,1,1,0,0,1,0,1,1,1
154,1.49941612669571,0.776652285413015,AZ,2024-05-11,0,0,1,0,1,1,1,0,1,1,0,1,1,1
155,0.069740895216833,0.02418774245552245,AZ,2024-05-12,1,1,1,1,1,1,1,1,1,1,1,1,1,1
156,1.73621463917087,0.4979684241780755,AZ,2024-05-13,0,1,1,1,0,0,1,1,0,1,0,0,0,1
157,0.680759464479412,0.2830551566159545,AZ,2024-05-14,1,1,1,0,1,1,1,0,0,1,0,1,1,1
158,0.684732735188577,0.2826342891332505,AZ,2024-05-15,1,1,1,0,1,1,1,0,1,1,0,1,1,1
159,0.948056853308013,0.789211443709695,AZ,2024-05-16,1,1,1,0,1,1,1,1,1,1,1,1,1,1
160,0.844469004979879,0.71752793979783,AZ,2024-05-17,1,0,1,1,1,1,1,1,0,0,1,1,1,1
161,0.103296506076636,0.0314974213501616,AZ,2024-05-18,1,1,1,1,1,1,1,0,0,1,1,1,1,1
162,0.113156671728731,0.0330283090250616,AZ,2024-05-19,1,1,1,1,1,1,1,1,1,1,1,1,1,1
163,0.904404719245195,0.7729319196971,AZ,2024-05-20,1,1,1,0,1,1,1,0,1,1,0,1,1,1
164,0.328727837936931,0.03642494267142605,AZ,2024-05-21,1,1,1,1,1,1,1,0,0,1,1,1,1,1
165,0.686520576085155,0.4011083459761045,AZ,2024-05-22,1,1,1,0,1,1,1,1,0,1,0,1,1,1
166,NA,NA,AZ,2024-05-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
167,0.138478179693506,0.0424835876170639,AZ,2024-05-24,1,1,1,1,1,1,1,0,0,1,1,1,1,1
168,NA,NA,AZ,2024-05-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
169,0.391065140876287,0.141899722081078,CA,2024-04-14,1,1,1,1,1,1,1,0,1,0,1,1,1,1
170,1.47568127692093,0.2209056896039685,CA,2024-04-15,1,1,1,1,0,1,1,0,0,0,1,0,1,1
171,1.51092773669264,0.1536905747017285,CA,2024-04-16,1,1,0,1,1,1,1,0,0,1,1,1,1,1
172,4.15066869939288,0.229580852619627,CA,2024-04-17,1,0,0,1,0,1,1,1,0,0,0,0,1,1
173,1.7843829774166,0.223998258746066,CA,2024-04-18,1,1,0,1,1,1,1,0,1,0,1,1,1,1
174,1.30357996000245,0.17551340143821,CA,2024-04-19,1,1,0,1,1,1,1,0,0,1,1,1,1,1
175,0.0450049282475211,0.02463316274007245,CA,2024-04-20,1,1,1,1,1,1,1,0,0,1,1,1,1,1
176,1.63449072611611,0.265228778371364,CA,2024-04-21,0,0,1,1,1,0,1,0,0,1,1,1,0,1
177,5.24869645420048,0.3944666928322215,CA,2024-04-22,0,0,0,1,0,1,0,0,0,0,0,0,1,0
178,1.48512746954813,0.272351797428654,CA,2024-04-23,1,1,1,1,0,0,1,0,1,0,1,0,0,1
179,6.36874326628269,0.409529072858587,CA,2024-04-24,0,0,0,1,1,1,1,0,0,0,0,1,1,1
180,3.65002018147493,0.29206853837486,CA,2024-04-25,0,1,1,1,0,0,1,0,0,0,1,0,0,1
181,1.32051466126469,0.251879025970055,CA,2024-04-26,1,0,1,1,1,1,1,0,0,0,1,1,1,1
182,7.12025234726612,0.471075408275211,CA,2024-04-27,0,0,1,1,0,1,1,0,0,0,0,0,1,1
183,6.12471017567268,0.56914370869538,CA,2024-04-28,0,1,1,0,0,1,1,0,1,0,0,0,1,1
184,0.735241170772335,0.2085973050918835,CA,2024-04-29,1,1,0,1,1,1,1,0,1,0,1,1,1,1
185,3.1664355217141398,0.3352225676463205,CA,2024-04-30,0,1,0,1,0,0,1,0,0,0,0,0,0,1
186,2.01096292339978,0.3435159808305065,CA,2024-05-01,0,1,1,1,0,1,1,0,0,0,1,0,1,1
187,2.08683909740403,0.2867787195910525,CA,2024-05-02,0,1,1,1,0,0,1,0,0,0,0,0,0,1
188,1.87880321262316,0.2136106301257985,CA,2024-05-03,1,1,1,1,0,1,1,0,0,0,0,0,1,1
189,0.985709687669872,0.1668240630355205,CA,2024-05-04,1,1,1,0,1,1,1,0,0,0,0,1,1,1
190,0.693442726754892,0.1196576697971235,CA,2024-05-05,1,1,1,1,1,1,1,0,0,1,1,1,1,1
191,1.9072670840533,0.2254607799454125,CA,2024-05-06,1,1,1,1,0,1,1,0,0,0,1,0,1,1
192,13.4990743428441,0.558952068016105,CA,2024-05-07,0,0,1,0,1,0,1,0,0,0,0,1,0,1
193,1.95441822542238,0.264047737160728,CA,2024-05-08,1,1,1,1,0,1,1,0,1,1,0,1,1,1
194,5.20496125463757,0.328611287394055,CA,2024-05-09,0,1,1,0,1,0,1,0,0,0,0,1,0,1
195,4.3791098993149,0.380353968707717,CA,2024-05-10,0,0,1,1,1,0,1,0,0,1,1,1,0,1
196,6.66404889374051,0.462841865681727,CA,2024-05-11,0,1,1,0,0,1,1,0,0,0,0,0,1,1
197,9.0025988659143,0.489627667744193,CA,2024-05-12,0,0,1,0,1,1,1,0,0,0,0,1,1,1
198,4.44516910931029,0.445632268965158,CA,2024-05-13,0,1,0,0,1,0,1,0,1,0,0,1,0,1
199,10.2175346745251,0.4199998961872205,CA,2024-05-14,0,0,1,0,0,0,1,0,0,0,0,0,0,1
200,7.45130919808847,0.3933409344014055,CA,2024-05-15,0,0,0,0,1,1,1,0,0,0,0,1,1,1
201,4.37670361687952,0.3033572624682075,CA,2024-05-16,1,1,1,0,1,1,1,0,0,0,0,0,1,1
202,2.13300060797031,0.270188685756366,CA,2024-05-17,1,1,1,1,1,0,1,0,0,0,1,1,0,1
203,1.75771420712977,0.1548325733850995,CA,2024-05-18,1,1,1,0,1,1,1,0,0,0,0,1,1,1
204,7.88912499181071,0.443584014826894,CA,2024-05-19,0,1,1,0,1,0,1,0,0,0,0,0,0,1
205,4.38246289017406,0.2647538316479955,CA,2024-05-20,1,0,1,1,1,1,1,0,0,0,0,1,1,1
206,4.97312671796055,0.2996064776147145,CA,2024-05-21,1,1,0,0,1,1,1,0,1,0,0,0,1,1
207,5.87234956206998,0.3067895142475485,CA,2024-05-22,1,1,1,0,1,0,1,0,0,0,0,1,0,0
208,8.17823340970674,0.356458452088554,CA,2024-05-23,0,1,1,0,1,1,1,0,0,0,0,0,1,1
209,7.15902781532303,0.3839444775785135,CA,2024-05-24,1,1,0,0,0,0,1,0,0,0,0,0,0,1
210,4.84346934537839,0.3652919425727145,CA,2024-05-25,1,1,1,0,1,1,0,0,0,0,0,0,1,0
211,NA,NA,CO,2024-04-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
212,0.636702288502088,0.365038128536151,CO,2024-04-15,1,0,1,1,1,1,1,0,0,1,1,1,1,1
213,NA,NA,CO,2024-04-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
214,0.787001064860665,0.3901861419970895,CO,2024-04-17,1,1,1,0,1,1,1,0,1,1,0,1,1,1
215,NA,NA,CO,2024-04-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
216,NA,NA,CO,2024-04-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
217,NA,NA,CO,2024-04-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
218,NA,NA,CO,2024-04-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
219,0.0961555761189951,0.0472942384022631,CO,2024-04-22,1,1,1,1,1,1,1,0,1,1,0,1,1,1
220,0.100966391244076,0.0495343038049937,CO,2024-04-23,1,1,1,1,1,1,1,1,1,1,1,1,1,1
221,NA,NA,CO,2024-04-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
222,NA,NA,CO,2024-04-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
223,NA,NA,CO,2024-04-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
224,NA,NA,CO,2024-04-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
225,NA,NA,CO,2024-04-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
