"","es_score","brier_score","location","target_date","X23A_50_CI","X23B_50_CI","X23D_50_CI","X23E_50_CI","X23F_50_CI","X23H_50_CI","X23G_50_CI","X24A_50_CI","X23I_50_CI","other_50_CI","X23A_95_CI","X23B_95_CI","X23D_95_CI","X23E_95_CI","X23F_95_CI","X23H_95_CI","X23G_95_CI","X24A_95_CI","X23I_95_CI","other_95_CI"
"149",4.75629290022943,0.643918911411667,"AZ",2023-11-13,0,1,1,1,0,1,1,0,1,1,0,0,0,1,0,0,1,0,1,0
"150",3.07104649061156,0.766126741678461,"AZ",2023-11-14,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,1,1
"151",2.44055109964569,0.641291522631589,"AZ",2023-11-15,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,1,1
"152",1.62895061625376,0.378094829997152,"AZ",2023-11-16,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1
"153",0.677912307886854,0.962279857419258,"AZ",2023-11-17,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"154",1.26996886681186,0.843380427640213,"AZ",2023-11-18,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,1,1
"155",3.12236902957506,0.820980909229576,"AZ",2023-11-19,0,1,0,1,1,1,1,0,1,1,0,0,1,1,0,0,0,0,1,1
"156",4.25459467275855,0.628094584756236,"AZ",2023-11-20,0,0,1,1,0,1,1,1,1,1,0,0,0,1,0,0,1,1,1,1
"157",4.15571447794082,0.813477793411513,"AZ",2023-11-21,0,0,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1
"158",2.10149713586698,0.842325836648868,"AZ",2023-11-22,1,1,0,1,1,1,1,0,1,1,1,0,0,1,0,0,1,0,1,1
"159",0.680329217104937,0.755639420697566,"AZ",2023-11-23,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"160",3.03827245696362,0.794526399320311,"AZ",2023-11-24,1,0,1,1,1,1,1,0,1,1,1,0,0,1,0,0,1,0,1,0
"161",2.63442775736365,0.84490325503615,"AZ",2023-11-25,1,1,1,0,1,1,0,0,1,1,1,0,0,0,0,0,1,0,1,1
"162",2.60585321111924,0.867246169704694,"AZ",2023-11-26,1,0,1,0,1,1,0,1,1,0,1,0,0,0,0,1,0,0,1,0
"163",6.01074309285675,0.840432110542682,"AZ",2023-11-27,0,1,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,1
