...1,es_score,brier_score,location,target_date,X22F_50_CI,X23A_50_CI,X23B_50_CI,X23C_50_CI,X23D_50_CI,X23E_50_CI,X23F_50_CI,X23H_50_CI,X23G_50_CI,other_50_CI,X22F_95_CI,X23A_95_CI,X23B_95_CI,X23C_95_CI,X23D_95_CI,X23E_95_CI,X23F_95_CI,X23H_95_CI,X23G_95_CI,other_95_CI
140,1.17440518949205,0.347017517776872,AZ,2023-10-14,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0
141,2.11886706585085,0.412726777198819,AZ,2023-10-15,0,1,1,1,1,1,0,1,0,1,1,0,0,1,0,1,1,0,0,0
142,2.79561849072897,0.345687593367662,AZ,2023-10-16,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,1,1
143,2.30242504175106,0.3893229146069395,AZ,2023-10-17,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1
144,2.66429571343753,0.4184817311421005,AZ,2023-10-18,1,0,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1
145,3.13846561232576,0.4219850352329435,AZ,2023-10-19,0,1,0,1,0,1,0,1,1,1,0,1,0,1,0,1,0,1,1,1
146,1.04101902207427,0.295498447382394,AZ,2023-10-20,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,1,1
147,1.67856427220527,0.314489566656777,AZ,2023-10-21,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1
148,2.02412624043177,0.328625805588991,AZ,2023-10-22,1,0,1,1,0,1,1,1,1,0,1,0,0,1,0,1,0,0,1,0
149,5.05675611322857,0.384496809034723,AZ,2023-10-23,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0
150,2.34747942118922,0.2857063007511325,AZ,2023-10-24,1,1,0,1,0,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0
151,1.1376166553552,0.323142894307557,AZ,2023-10-25,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0,1,1,1
152,0.22730394356704,0.16023841744938,AZ,2023-10-26,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
153,0.887815486120277,0.301741475258545,AZ,2023-10-27,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1
154,2.07144405002593,0.474752121577062,AZ,2023-10-28,1,1,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1
155,1.78767258336528,0.3266702873228065,AZ,2023-10-29,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1
156,3.05615069495217,0.3682189214273835,AZ,2023-10-30,1,1,1,1,1,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0
