"","es_score","brier_score","location","target_date","X22F_50_CI","X23A_50_CI","X23B_50_CI","X23C_50_CI","X23D_50_CI","X23E_50_CI","X23F_50_CI","recombinant_50_CI","X23G_50_CI","other_50_CI","X22F_95_CI","X23A_95_CI","X23B_95_CI","X23C_95_CI","X23D_95_CI","X23E_95_CI","X23F_95_CI","recombinant_95_CI","X23G_95_CI","other_95_CI"
"161",0.428281396917411,0.582214176812354,"AZ",2023-08-12,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1
"162",2.35266865748236,0.786422674980633,"AZ",2023-08-13,1,0,1,1,1,0,1,1,1,1,1,0,0,1,0,1,0,1,1,1
"163",10.0833659983364,0.914417135452716,"AZ",2023-08-14,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
"164",2.22831298797572,0.734299207934976,"AZ",2023-08-15,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1,1
"165",3.34320712890435,0.762626256139338,"AZ",2023-08-16,1,0,1,1,0,0,1,1,0,1,1,1,0,1,0,1,0,1,0,1
"166",2.22124210028596,0.974035201269801,"AZ",2023-08-17,1,1,1,1,1,1,0,0,1,1,1,1,0,1,0,1,0,0,1,1
"167",1.90406336238401,0.88343168073781,"AZ",2023-08-18,1,0,1,1,1,1,0,1,0,1,0,0,1,1,0,0,0,1,0,1
"168",1.25554774030507,0.824411801945068,"AZ",2023-08-19,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1
"169",0.731938644950996,0.80461116898177,"CA",2023-07-09,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1
"170",3.03879250517393,0.811812467881904,"CA",2023-07-10,0,0,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,1
"171",1.81586757035328,0.826053831400888,"CA",2023-07-11,0,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,1
"172",1.60796469457329,0.800665701950117,"CA",2023-07-12,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1,0,1,1,1
"173",2.04704471970472,0.804154596437654,"CA",2023-07-13,0,0,1,1,1,0,1,1,1,1,0,0,0,1,0,0,0,1,1,1
"174",1.40097879422926,0.789090614923382,"CA",2023-07-14,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,1,1
