...1,es_score,brier_score,location,target_date,X22B_50_CI,X22E_50_CI,X22F_50_CI,X23A_50_CI,X23C_50_CI,other_50_CI,X22B_95_CI,X22E_95_CI,X22F_95_CI,X23A_95_CI,X23C_95_CI,other_95_CI
125,0.168018640308669,0.114577075241749,AR,2023-03-03,1,1,1,1,1,1,1,0,1,0,1,1
126,NA,NA,AR,2023-03-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
127,0.392823088806908,0.30090793460208,AZ,2023-01-22,1,1,1,1,1,1,1,0,1,0,1,1
128,4.26257611393562,0.32795749443108,AZ,2023-01-23,0,0,1,0,1,1,0,0,0,0,1,0
129,2.51878802076316,0.3880720203288555,AZ,2023-01-24,0,1,1,0,1,0,1,0,0,0,1,1
130,1.14272376576258,0.3230155574583795,AZ,2023-01-25,1,1,0,1,1,1,0,1,0,1,1,1
131,2.17466297224113,0.341871418294863,AZ,2023-01-26,1,0,1,0,0,1,0,1,0,0,0,1
132,1.05738843752422,0.315740620361805,AZ,2023-01-27,0,1,1,1,1,1,0,1,1,0,1,1
133,0.79580847288021,0.3385768528766735,AZ,2023-01-28,1,1,0,1,1,1,1,0,0,0,1,1
134,2.82920270564914,0.3525379647293005,AZ,2023-01-29,0,0,1,0,1,1,1,0,1,0,1,1
135,1.95773206891882,0.2651269670496295,AZ,2023-01-30,0,1,1,1,1,1,0,0,0,0,0,0
136,5.53031803967167,0.2593959098757345,AZ,2023-01-31,1,0,1,0,1,0,1,0,1,0,1,0
137,9.29993405318849,0.362825068618767,AZ,2023-02-01,0,1,1,0,1,1,0,0,0,0,0,0
138,1.88761642405883,0.1854640280455055,AZ,2023-02-02,1,0,1,0,1,1,0,0,0,1,0,1
139,1.95379290463424,0.30300953528987,AZ,2023-02-03,0,1,1,1,0,1,0,0,1,0,0,1
140,0.64925917606376,0.2555394715310005,AZ,2023-02-04,1,1,1,1,1,1,1,1,1,1,1,1
141,1.47073001973931,0.2439858501054365,AZ,2023-02-05,0,1,1,1,1,1,0,1,1,1,1,0
142,1.455479873886,0.23983741540978,AZ,2023-02-06,0,1,1,1,1,1,0,0,0,0,0,1
143,1.21207139999845,0.2453348728509565,AZ,2023-02-07,1,1,1,1,1,0,1,1,0,0,1,0
144,2.68109028799119,0.0966908572948865,AZ,2023-02-08,0,0,1,0,1,1,0,0,0,0,1,1
145,0.509592483446821,0.1614866132148275,AZ,2023-02-09,1,1,1,1,1,1,1,1,1,0,1,0
146,1.59784882146199,0.325127691027848,AZ,2023-02-10,0,1,1,0,1,1,0,0,1,1,1,1
147,0.635624934515355,0.175885517755201,AZ,2023-02-11,1,1,1,1,1,1,1,0,1,0,0,1
148,6.73386526464998,0.2930921886355935,AZ,2023-02-12,0,1,0,0,1,1,0,1,0,0,1,1
149,9.75132125178008,0.243724447505094,AZ,2023-02-13,1,0,0,0,1,0,1,0,0,0,0,0
150,0.931515691491487,0.124504436398243,AZ,2023-02-14,1,1,1,1,1,0,1,0,1,0,1,0
151,1.81576835957086,0.2346720507445505,AZ,2023-02-15,1,1,0,0,1,1,1,1,0,0,1,1
152,1.38728834892624,0.19052760093522,AZ,2023-02-16,1,1,1,0,1,0,1,1,1,0,1,0
153,1.84571247065329,0.1839585894534285,AZ,2023-02-17,1,1,0,0,1,1,1,1,0,0,0,1
154,2.00032951791385,0.208996686869617,AZ,2023-02-18,1,0,1,0,1,1,1,0,0,0,1,1
155,4.09820732984219,0.2989172275190985,AZ,2023-02-19,0,1,0,0,0,0,0,1,0,0,0,0
156,7.87877707030099,0.174477440283305,AZ,2023-02-20,0,0,1,0,1,0,0,0,1,0,1,0
