...1,es_score,brier_score,location,target_date,X22A_50_CI,X22B_50_CI,X22D_50_CI,X22E_50_CI,X22F_50_CI,X23A_50_CI,X23C_50_CI,other_50_CI,X22A_95_CI,X22B_95_CI,X22D_95_CI,X22E_95_CI,X22F_95_CI,X23A_95_CI,X23C_95_CI,other_95_CI
158,4.75274079778325,0.3034113353626055,AZ,2022-12-28,1,0,1,0,1,1,1,1,1,0,0,0,0,0,1,1
159,4.0990763127025,0.303685937784602,AZ,2022-12-29,1,0,1,0,1,1,1,0,1,0,0,0,0,0,1,0
160,2.90192830351658,0.271354609673521,AZ,2022-12-30,1,1,0,0,1,1,1,1,1,0,0,0,0,0,1,1
161,0.996567351838608,0.2370121844858025,AZ,2022-12-31,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1
162,0.606775351765065,0.04037857883946185,AZ,2023-01-01,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
163,7.05055453914493,0.280740178872068,AZ,2023-01-02,1,0,1,0,1,1,1,0,1,0,1,0,1,1,1,0
164,3.95619159383527,0.254086482663359,AZ,2023-01-03,1,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0
165,2.24488984852273,0.2410592810179,AZ,2023-01-04,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,1
166,2.13565360291693,0.246075635814161,AZ,2023-01-05,1,0,1,1,1,1,1,1,1,0,0,0,1,0,1,1
167,2.63425610200411,0.204950407502429,AZ,2023-01-06,1,0,1,1,1,0,1,1,1,0,1,0,0,0,1,1
168,0.850086460673285,0.174787310677105,AZ,2023-01-07,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1
169,18.9744518236111,0.300049871964305,CA,2022-11-27,1,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0
170,12.0215474408353,0.27284270992117,CA,2022-11-28,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
171,9.53721957159675,0.2684209833420215,CA,2022-11-29,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
172,8.61292594040853,0.2608092997923435,CA,2022-11-30,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0
173,9.77870711525961,0.2680601273174625,CA,2022-12-01,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1
174,26.414775501265,0.2907223717286825,CA,2022-12-02,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0
175,29.7257846213824,0.2896061916453675,CA,2022-12-03,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
176,12.5723508884003,0.275045211804424,CA,2022-12-04,1,0,1,0,1,1,1,0,0,0,1,0,0,0,1,0
177,24.6901403164093,0.2608102650862535,CA,2022-12-05,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0
178,8.4594871462946,0.2448859226610465,CA,2022-12-06,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
179,28.3161228209359,0.264796494694602,CA,2022-12-07,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
180,16.9488083893264,0.2365394651885545,CA,2022-12-08,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0
181,10.2662097064513,0.219330681858323,CA,2022-12-09,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
182,43.1972388044181,0.280600973772843,CA,2022-12-10,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
183,24.2508727710023,0.2472796167801435,CA,2022-12-11,1,0,1,0,0,1,1,1,1,0,0,0,0,1,0,0
184,12.61681753867,0.229123173001789,CA,2022-12-12,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0
185,20.3539012345723,0.248002675709886,CA,2022-12-13,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
186,32.4408196350257,0.288725681982623,CA,2022-12-14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
187,16.4998895929736,0.226399606289031,CA,2022-12-15,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0
188,12.3087439893407,0.237211969645173,CA,2022-12-16,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0
189,21.1150576624988,0.2618691101660315,CA,2022-12-17,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
190,13.0913294702535,0.1992732947994915,CA,2022-12-18,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
191,20.8443438000083,0.224235326493657,CA,2022-12-19,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
