...1,es_score,brier_score,location,target_date,X22A_50_CI,X22B_50_CI,other_50_CI,X22A_95_CI,X22B_95_CI,other_95_CI
211,0.287072611695093,0.00844014166776885,CO,2022-08-14,1,1,1,1,1,1
212,0.359886548507669,0.066677610709486,CO,2022-08-15,1,1,1,0,0,1
213,0.856037310291572,0.00770184052741705,CO,2022-08-16,1,1,1,0,0,1
214,0.35669858961541,0.09942257245972,CO,2022-08-17,1,1,1,0,0,1
215,0.566703438555573,0.0995215024791075,CO,2022-08-18,1,1,1,0,0,1
216,2.00839629941206,0.1996770473554505,CO,2022-08-19,0,0,1,1,1,1
217,1.34944266951173,0.2258173006916225,CO,2022-08-20,1,0,0,0,0,0
218,0.551035236113362,0.0949144591744085,CO,2022-08-21,1,1,1,0,0,1
219,6.17654709192849,0.263603229551518,CO,2022-08-22,0,0,1,0,0,1
220,0.168820690536453,0.00561095850344105,CO,2022-08-23,1,1,1,0,0,1
221,0.615590726898548,0.005364422078007,CO,2022-08-24,1,1,1,0,0,0
222,0.964762519314148,0.136944910541075,CO,2022-08-25,1,1,1,0,0,1
223,0.740359624211446,0.1060774012183365,CO,2022-08-26,1,1,1,0,0,0
224,0.32980540927779,0.0831502077353395,CO,2022-08-27,1,1,1,1,1,1
225,0.0943621157831046,0.00448398942514233,CO,2022-08-28,1,1,1,0,0,0
226,0.32794587516099,0.0711383058688655,CO,2022-08-29,1,1,1,1,1,1
227,0.434981340565148,0.00410031283255552,CO,2022-08-30,1,1,1,0,0,1
228,0.298674162174255,0.003921080485709885,CO,2022-08-31,1,1,1,1,1,1
229,0.0247687141297566,0.00374973342432171,CO,2022-09-01,1,1,1,1,1,1
230,0.474128733790227,0.1013909004598505,CO,2022-09-02,1,1,1,0,0,1
231,0.194008445838904,0.003429262434632185,CO,2022-09-03,1,1,1,0,0,1
232,2.41763687856722,0.2076195652220865,CO,2022-09-04,0,0,1,0,0,1
233,0.941270652596014,0.299136906515678,CO,2022-09-05,0,0,1,1,1,1
234,4.2584447168549,0.182889277796559,CO,2022-09-06,0,0,0,0,0,0
235,0.753558345481048,0.002868184731304115,CO,2022-09-07,1,1,1,1,1,1
236,0.20852493728874,0.0027428575559568,CO,2022-09-08,1,1,1,1,1,1
237,0.444564800342542,0.00262298207437815,CO,2022-09-09,1,1,1,1,1,1
238,0.110678453251429,0.002508317673464905,CO,2022-09-10,1,1,1,0,0,1
239,1.77346509474253,0.3111502921374935,CO,2022-09-11,1,0,0,0,0,0
240,2.18917226889183,0.1529964379163695,CO,2022-09-12,0,0,1,0,0,1
241,0.586062038851682,0.1028972504315525,CO,2022-09-13,1,1,1,1,1,1
242,1.02964379475385,0.081578894445258,CO,2022-09-14,1,1,0,0,1,0
243,0.196561108206021,0.00200550324593421,CO,2022-09-15,1,1,1,1,1,1
244,0.465385021233139,0.00191764795066941,CO,2022-09-16,1,1,1,0,0,1
245,0.517340775024012,0.084957201466333,CO,2022-09-17,1,1,1,1,1,1
246,0.960390759728903,0.230817699505818,CO,2022-09-18,0,0,1,0,0,1
247,0.351132808562884,0.03993110333987,CO,2022-09-19,1,1,1,1,1,1
248,3.59467874466638,0.236559971136426,CO,2022-09-20,0,0,0,0,0,0
249,2.42055294384672,0.176785822409232,CO,2022-09-21,0,0,0,0,0,0
250,1.81172945565037,0.186154707575452,CO,2022-09-22,0,0,1,1,1,1
251,1.04416368634075,0.0754309925838645,CO,2022-09-23,1,1,0,0,1,0
252,1.1108822692512,0.310276885148337,CO,2022-09-24,0,0,1,0,0,1
253,1.73702932665717,0.1759958613074475,CT,2022-08-14,0,0,1,0,0,1
254,0.504849310620556,0.0901454144930345,CT,2022-08-15,1,1,1,1,1,1
255,2.25487554902018,0.1388438655811825,CT,2022-08-16,0,0,1,0,0,1
256,1.22282018827534,0.117751892028146,CT,2022-08-17,1,1,1,0,0,1
257,0.63373988336807,0.0850982583330815,CT,2022-08-18,1,1,1,0,0,1
258,4.91791143078318,0.187356743020024,CT,2022-08-19,0,0,0,0,0,0
259,3.65058857689847,0.2320126555981375,CT,2022-08-20,0,0,1,0,0,1
260,0.92225060032136,0.1041732402272715,CT,2022-08-21,1,1,1,0,0,1
261,1.8054022701806,0.059616208212123,CT,2022-08-22,0,1,0,0,0,0
262,1.04780003818079,0.083383006989077,CT,2022-08-23,1,1,0,0,1,0
263,1.50601898540306,0.2408706637165225,CT,2022-08-24,0,0,1,0,0,1
264,0.97707052700142,0.109601770408499,CT,2022-08-25,1,1,0,0,0,0
265,1.13481657062642,0.079739392105338,CT,2022-08-26,1,1,0,0,0,0
266,1.8492693008647,0.131286819252108,CT,2022-08-27,1,0,0,0,1,0
267,1.33260465093333,0.0326881376488704,CT,2022-08-28,1,1,1,1,1,1
268,1.9180210934066,0.114843939263263,CT,2022-08-29,1,0,0,0,0,0
269,4.58505528041938,0.197336889640694,CT,2022-08-30,0,0,0,0,0,0
270,2.85953712900472,0.1506148516138635,CT,2022-08-31,0,0,1,0,0,1
271,2.48097841097312,0.17392736391201,CT,2022-09-01,0,0,1,0,0,1
272,2.01710926201249,0.140702456140368,CT,2022-09-02,0,0,1,0,0,1
273,3.49853455346827,0.1621098532972105,CT,2022-09-03,0,0,1,0,0,1
274,3.71886667505537,0.181930917870858,CT,2022-09-04,0,0,1,0,0,1
275,3.84222314419901,0.313765838514934,CT,2022-09-05,0,0,1,0,0,1
276,5.23185475902932,0.1858263471560535,CT,2022-09-06,0,0,1,0,0,1
277,4.29912657655803,0.1651998188587565,CT,2022-09-07,0,0,1,0,0,1
278,2.15312371873163,0.131865542359081,CT,2022-09-08,0,0,1,0,0,1
279,6.00978670437626,0.205024173946012,CT,2022-09-09,0,0,1,0,0,1
280,6.93988864311793,0.2746237445904325,CT,2022-09-10,0,0,0,0,0,0
281,5.63310960970386,0.187522618446485,CT,2022-09-11,0,0,1,0,0,1
282,8.22837411427531,0.2070677348355185,CT,2022-09-12,0,0,0,0,0,0
283,7.18686118759545,0.273486948765832,CT,2022-09-13,0,0,0,0,0,0
284,2.66461152861791,0.1728148690535385,CT,2022-09-14,0,0,0,0,0,0
285,3.78820564052595,0.136263681305075,CT,2022-09-15,1,0,0,1,0,0
286,15.0351370936411,0.226661365751183,CT,2022-09-16,0,0,0,0,0,0
287,3.8522429242282,0.1514293246060005,CT,2022-09-17,0,0,0,0,0,0
288,8.60076198436466,0.2206195557712385,CT,2022-09-18,0,0,0,0,0,0
289,3.5133676133532,0.122429698507109,CT,2022-09-19,0,0,1,0,0,1
290,8.12497821968931,0.192299093431264,CT,2022-09-20,0,0,1,0,0,1
291,11.8641444681444,0.3402994124484125,CT,2022-09-21,0,0,0,0,0,0
292,2.64828296268327,0.1471720256536355,CT,2022-09-22,0,0,0,0,0,0
293,2.0127929225631,0.1032951208424235,CT,2022-09-23,1,0,0,0,1,0
294,8.47786541272666,0.2646523617626785,CT,2022-09-24,0,0,0,0,0,0
295,1.02768637175646,0.10906972438532,DC,2022-08-14,1,1,0,1,0,0
296,1.00897936980127,0.0989927120426585,DC,2022-08-15,1,1,0,0,0,1
297,0.48954719179838,0.104355868356286,DC,2022-08-16,1,1,1,0,0,1
298,0.885471380797823,0.0085391304845501,DC,2022-08-17,1,1,1,0,0,1
299,1.12499793721902,0.1494593830740945,DC,2022-08-18,1,1,0,1,0,0
300,0.30463621309215,0.0992974303042555,DC,2022-08-19,1,1,1,1,1,1
301,0.732310536640612,0.283294908464411,DC,2022-08-20,1,1,1,0,0,1
302,0.455950393887688,0.145683120513246,DC,2022-08-21,1,1,1,0,0,1
303,0.432406097865164,0.145998972827289,DC,2022-08-22,1,1,1,1,1,1
304,0.716131397261627,0.1355584770080415,DC,2022-08-23,1,1,1,0,0,1
305,0.77917155121493,0.00619700479945085,DC,2022-08-24,1,1,1,0,0,1
306,2.46844018112627,0.205011499383158,DC,2022-08-25,0,0,1,0,0,1
307,1.17085519763273,0.182854310197591,DC,2022-08-26,1,0,0,0,0,0
308,0.662895303097715,0.1191354687801165,DC,2022-08-27,1,1,1,0,0,1
309,0.0122477541125392,0.0051657484400861,DC,2022-08-28,1,1,1,1,1,1
310,0.359845788276358,0.004936314659146605,DC,2022-08-29,1,1,1,1,1,1
311,0.322869849380989,0.0831398776333805,DC,2022-08-30,1,1,1,0,0,1
312,0.385435595878909,0.100700087450991,DC,2022-08-31,1,1,1,1,1,1
313,2.78929136020252,0.3300857918201745,DC,2022-09-01,0,0,1,0,0,1
314,0.0320017482715514,0.004116740388021205,DC,2022-09-02,1,1,1,1,1,1
315,0.0610127267693728,0.003934160470977375,DC,2022-09-03,1,1,1,1,1,1
316,0.166031251622915,0.00375969511076464,DC,2022-09-04,1,1,1,1,1,1
317,0.00739458329800463,0.003592974616973385,DC,2022-09-05,1,1,1,1,1,1
318,0.767507616364979,0.224135961462812,DC,2022-09-06,1,1,1,0,0,1
319,NA,NA,DC,2022-09-07,NA,NA,NA,NA,NA,NA
320,NA,NA,DC,2022-09-08,NA,NA,NA,NA,NA,NA
321,NA,NA,DC,2022-09-09,NA,NA,NA,NA,NA,NA
322,0.00588365167407408,0.002863833162703705,DC,2022-09-10,1,1,1,1,1,1
323,0.112049918291038,0.00273677476376055,DC,2022-09-11,1,1,1,0,0,1
324,0.110868954958326,0.002615331531055145,DC,2022-09-12,1,1,1,0,0,1
325,0.0749751067013624,0.002499254044882205,DC,2022-09-13,1,1,1,1,1,1
326,1.07091385863597,0.138209694633503,DC,2022-09-14,1,1,0,1,0,0
