"","es_score","brier_score","location","target_date","X22E_50_CI","X22F_50_CI","X23A_50_CI","X23D_50_CI","X23B_50_CI","other_50_CI","X22E_95_CI","X22F_95_CI","X23A_95_CI","X23D_95_CI","X23B_95_CI","other_95_CI"
"149",3.02770795004721,0.231811768238784,"AZ",2023-03-27,0,1,0,0,1,0,0,0,1,0,0,0
"150",1.14807486954905,0.0910439401490036,"AZ",2023-03-28,1,1,1,1,1,0,0,0,0,0,1,0
"151",0.214707090124731,0.00307650668480897,"AZ",2023-03-29,1,1,1,1,1,1,1,1,1,1,1,1
"152",2.51419314779871,0.473373156349189,"AZ",2023-03-30,0,1,0,0,1,0,0,1,0,0,1,0
"153",0.00656849634615808,0.00313199736688363,"AZ",2023-03-31,1,1,1,1,1,1,1,1,1,1,1,1
"154",1.20369062134476,0.630301582449322,"AZ",2023-04-01,0,1,0,1,1,1,0,1,0,1,1,1
"155",0.984224145442183,0.313116954346298,"AZ",2023-04-02,1,1,1,0,1,1,1,1,1,1,1,1
"156",0.631963279598895,0.101572056383106,"AZ",2023-04-03,1,1,1,1,0,1,1,1,1,0,0,1
"157",2.97860666549498,0.359810863311427,"AZ",2023-04-04,0,1,0,0,1,0,0,1,1,0,0,0
"158",1.08702973882909,0.165996250544261,"AZ",2023-04-05,0,1,1,1,1,1,0,1,1,1,0,1
"159",0.0446866626543301,0.00414574850509519,"AZ",2023-04-06,1,1,1,1,1,1,1,1,1,1,1,1
"160",0.0936885894174017,0.00449446916217881,"AZ",2023-04-07,1,1,1,1,1,1,1,1,0,1,0,1
"161",0.83687057775139,0.188534693909837,"AZ",2023-04-08,1,1,1,0,1,1,1,1,0,0,1,1
"162",2.32078149508061,0.285674025200047,"AZ",2023-04-09,1,1,0,0,1,1,1,1,0,0,1,1
"163",2.77508987324034,0.285694984264368,"AZ",2023-04-10,1,1,0,0,1,1,0,1,0,0,0,1
"164",3.80387553134359,0.445152825036041,"AZ",2023-04-11,1,0,0,0,1,0,1,0,0,0,1,0
"165",0.0237166032928595,0.00770237901914804,"AZ",2023-04-12,1,1,1,1,1,1,1,1,1,1,1,1
"166",0.145591433114469,0.00878445386265296,"AZ",2023-04-13,1,1,1,1,1,1,1,1,0,1,0,1
"167",1.1167470651622,0.619330565625921,"AZ",2023-04-14,0,1,0,1,1,1,0,1,0,1,1,1
"168",0.238609800941164,0.0116415535942291,"AZ",2023-04-15,1,1,1,1,1,1,1,1,0,0,0,1
"169",3.78562868604235,0.117877761514857,"CA",2023-03-05,0,1,0,1,1,1,0,1,0,0,1,0
"170",3.75465382631739,0.333079289114549,"CA",2023-03-06,0,1,0,1,1,1,0,1,0,0,1,1
"171",5.77733159936422,0.356661051334257,"CA",2023-03-07,0,0,0,1,1,0,0,0,0,0,1,0
"172",13.0547020205903,0.362072992084398,"CA",2023-03-08,1,0,0,1,1,0,0,0,0,0,1,0
"173",4.10476400507233,0.182186601723817,"CA",2023-03-09,1,1,1,1,0,0,0,0,0,0,0,0
"174",4.11866398088041,0.256114336574237,"CA",2023-03-10,1,1,1,0,1,0,0,1,0,0,0,0
"175",1.90314170783555,0.174406944160598,"CA",2023-03-11,1,1,1,1,1,0,0,0,0,0,1,0
"176",5.46320627358435,0.29727232224035,"CA",2023-03-12,1,1,0,0,1,0,0,1,0,0,1,0
"177",6.5127821466227,0.337882041788,"CA",2023-03-13,1,0,0,0,1,0,1,0,0,0,0,0
"178",4.53444859626071,0.266429760244985,"CA",2023-03-14,0,1,0,1,1,0,0,0,0,0,0,0
"179",5.85815227072063,0.264637118075348,"CA",2023-03-15,0,0,0,1,1,0,0,0,0,0,0,0
"180",2.87794615669968,0.196163531367303,"CA",2023-03-16,1,1,1,1,1,0,0,0,0,0,0,0
"181",6.26450561391221,0.307932936514105,"CA",2023-03-17,1,0,0,0,1,0,1,0,0,0,1,0
"182",2.59797330263441,0.266434598093095,"CA",2023-03-18,1,0,0,1,1,0,0,0,0,0,0,0
"183",5.36285067659821,0.348720822165946,"CA",2023-03-19,0,0,0,1,1,0,0,1,0,0,1,0
"184",2.02595548978293,0.122998115881468,"CA",2023-03-20,1,1,1,1,1,0,0,0,0,1,0,0
"185",2.24241593703673,0.180444033209414,"CA",2023-03-21,1,0,1,1,0,0,0,0,0,0,0,0
"186",4.31714476883516,0.248522663266543,"CA",2023-03-22,1,0,0,1,1,0,1,0,0,1,0,0
"187",5.61586449029724,0.277042662117282,"CA",2023-03-23,1,0,0,0,1,0,0,0,0,0,0,0
"188",5.04531431603021,0.270978888839068,"CA",2023-03-24,1,0,0,1,1,0,0,0,0,0,0,0
"189",8.73904957371149,0.480061734766805,"CA",2023-03-25,0,0,0,1,0,0,0,0,0,0,0,0
"190",6.07226927737785,0.353611726169476,"CA",2023-03-26,1,1,0,1,0,0,0,1,0,0,0,0
"191",2.64590059213915,0.195556808254077,"CA",2023-03-27,1,0,1,1,1,0,0,0,0,0,0,0
"192",1.4153631414513,0.10240029616158,"CA",2023-03-28,1,1,1,1,1,1,0,1,0,0,0,1
"193",8.02916286651222,0.411127832382149,"CA",2023-03-29,0,0,0,0,1,0,0,0,0,0,0,0
"194",1.87930412360687,0.140887032960512,"CA",2023-03-30,1,0,1,1,1,1,0,0,1,0,0,1
"195",2.91974489197732,0.239896112317404,"CA",2023-03-31,0,0,1,1,1,0,0,0,0,0,0,0
"196",7.17581611828591,0.412587474273695,"CA",2023-04-01,1,0,0,0,0,0,1,0,0,0,0,0
"197",5.49943621401546,0.344152289357217,"CA",2023-04-02,1,0,0,0,0,0,0,0,1,0,0,0
"198",6.49406627771345,0.319370284587672,"CA",2023-04-03,1,0,0,1,0,0,0,0,0,0,0,0
"199",3.50816731300592,0.163561175190352,"CA",2023-04-04,1,0,1,1,0,0,0,0,0,0,0,0
"200",7.7657318687116,0.334396542694193,"CA",2023-04-05,1,0,0,0,0,0,1,0,1,0,0,0
"201",9.99992899679598,0.419924933452274,"CA",2023-04-06,1,0,0,0,0,0,1,0,0,0,0,0
"202",6.61351505438655,0.299224437803838,"CA",2023-04-07,1,0,1,0,0,0,1,0,0,0,0,0
"203",2.10744991599651,0.259099605178495,"CA",2023-04-08,1,1,1,1,1,0,1,1,0,0,0,0
"204",1.50700472213402,0.152278124411333,"CA",2023-04-09,1,1,1,1,0,1,0,1,0,0,0,1
"205",14.1183045151708,0.397453444306499,"CA",2023-04-10,0,1,1,0,0,0,0,1,0,0,0,0
"206",12.6896567868052,0.232406872926022,"CA",2023-04-11,1,0,0,0,0,0,0,0,0,0,0,0
"207",10.9849965251391,0.435578990380751,"CA",2023-04-12,0,0,1,0,0,0,0,0,0,0,0,0
"208",10.1010622587856,0.303760779722345,"CA",2023-04-13,1,0,1,0,0,0,0,0,0,0,0,0
"209",13.1666651000815,0.187495816941177,"CA",2023-04-14,1,1,0,1,0,0,0,0,0,0,0,0
"210",7.5968535064579,0.313582473987955,"CA",2023-04-15,0,0,0,1,0,0,0,0,0,1,0,0
"211",0.0403598948362558,0.00170609427777046,"CO",2023-03-05,1,1,1,1,1,1,1,1,1,1,1,1
"212",1.90368027827176,0.479389376274104,"CO",2023-03-06,0,1,0,1,1,0,0,1,0,1,1,0
"213",0.735764452388208,0.147633860882705,"CO",2023-03-07,0,1,1,1,1,1,0,1,1,1,0,1
"214",0.884848369064442,0.174637698409548,"CO",2023-03-08,0,1,1,1,1,1,0,1,0,1,1,1
"215",0.0221572412995152,0.00104936193919114,"CO",2023-03-09,1,1,1,1,1,1,1,1,1,1,1,1
"216",0.0123348839605071,0.000940518358207477,"CO",2023-03-10,1,1,1,1,1,1,1,1,1,1,1,1
"217",0.000493970656653561,0.00084821172687004,"CO",2023-03-11,1,1,1,1,1,1,1,1,1,1,1,1
"218",0.0029632538561082,0.000770370488451014,"CO",2023-03-12,1,1,1,1,1,1,1,1,1,1,1,1
"219",0.00262086357725203,0.000705260941418312,"CO",2023-03-13,1,1,1,1,1,1,1,1,1,1,1,1
"220",0.0127338773740062,0.000651450487398148,"CO",2023-03-14,1,1,1,1,1,1,1,1,0,1,1,0
"221",0.0537647917980956,0.00060777807542297,"CO",2023-03-15,1,1,1,1,1,1,0,1,0,0,1,1
"222",0.0412344729628078,0.000573331461953403,"CO",2023-03-16,1,1,1,1,1,1,1,1,1,1,1,1
"223",1.18823526241683,0.388988289023084,"CO",2023-03-17,0,1,0,1,1,1,0,1,0,1,1,1
"224",1.34540982936916,0.972569759657418,"CO",2023-03-18,0,1,0,1,1,1,0,1,0,1,1,1
"225",1.20288391499599,0.324789051445553,"CO",2023-03-19,0,1,0,1,1,1,0,1,0,1,1,1
"226",0.0543117099841931,0.000517546651685985,"CO",2023-03-20,1,1,1,1,1,1,0,1,0,1,1,1
"227",1.19130306438026,0.243668293491754,"CO",2023-03-21,1,1,0,1,0,1,1,1,0,1,0,1
"228",5.51403096307307,1.08411313767304,"CO",2023-03-22,0,0,0,0,1,1,0,0,0,0,1,1
"229",1.15168250157247,0.244128596398799,"CO",2023-03-23,1,1,0,0,1,1,1,1,0,0,1,1
"230",0.0108032748895266,0.00059599264151697,"CO",2023-03-24,1,1,1,1,1,1,1,1,1,1,1,1
"231",0.00035775360590623,0.000642064711173858,"CO",2023-03-25,1,1,1,1,1,1,1,1,1,1,1,1
"232",1.23019543626218,0.389623554917908,"CO",2023-03-26,1,1,0,0,1,1,1,1,0,0,1,1
"233",0.0178055495550478,0.000778013260511675,"CO",2023-03-27,1,1,1,1,1,1,1,1,0,1,0,1
"234",0.0104221655895301,0.000873420697815761,"CO",2023-03-28,1,1,1,1,1,1,0,1,0,1,1,1
"235",0.015247562822057,0.0009919928282847,"CO",2023-03-29,1,1,1,1,1,1,1,1,1,1,1,1
"236",0.0139127656372245,0.00113849696614676,"CO",2023-03-30,1,1,1,1,1,1,1,1,1,1,1,1
"237",NA,NA,"CO",2023-03-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"238",0.000922859204609668,0.0015401105268213,"CO",2023-04-01,1,1,1,1,1,1,1,1,0,1,0,1
"239",NA,NA,"CO",2023-04-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"240",1.14417384467577,0.321630185447667,"CO",2023-04-03,1,1,0,0,1,1,1,1,1,1,1,1
"241",0.00377122705336776,0.00254741997214439,"CO",2023-04-04,1,1,1,1,1,1,1,1,1,1,1,1
"242",0.00152941540251857,0.0030408295650966,"CO",2023-04-05,1,1,1,1,1,1,1,1,1,1,1,1
