...1,es_score,brier_score,location,target_date,X22F_50_CI,X23A_50_CI,X23B_50_CI,X23D_50_CI,recombinant_50_CI,X23E_50_CI,X23F_50_CI,X23G_50_CI,other_50_CI,X22F_95_CI,X23A_95_CI,X23B_95_CI,X23D_95_CI,recombinant_95_CI,X23E_95_CI,X23F_95_CI,X23G_95_CI,other_95_CI
158,2.0583917292231,0.3764998738283385,AZ,2023-06-21,1,1,1,1,1,0,1,1,1,1,0,0,0,1,0,0,1,1
159,2.05518285186739,0.4256572851788845,AZ,2023-06-22,0,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,1,1
160,0.299494058804716,0.2249140506049285,AZ,2023-06-23,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1
161,1.39324267495834,0.453920644707897,AZ,2023-06-24,1,1,0,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1
162,1.51915985017125,0.3737443996672665,AZ,2023-06-25,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1
163,2.96112245610832,0.3827948480136455,AZ,2023-06-26,0,1,1,0,1,1,1,1,1,0,0,0,0,1,1,0,1,1
164,4.18061774920475,0.3609653528323285,AZ,2023-06-27,0,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,1,1
165,1.93542010158261,0.3528619455087045,AZ,2023-06-28,1,0,1,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1
166,2.70334065718697,0.400016008567223,AZ,2023-06-29,1,1,0,0,1,1,1,1,0,1,0,0,0,1,1,0,1,0
167,1.34064183867295,0.4124979341503825,AZ,2023-06-30,1,1,0,0,1,0,1,1,1,1,1,0,0,1,0,1,1,1
168,1.21721246258485,0.2931893090359335,AZ,2023-07-01,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1
169,1.07488033414604,0.447472618002256,CA,2023-05-21,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1
170,1.61892137379923,0.2881541204625445,CA,2023-05-22,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,1,0
171,1.35076713892548,0.2806523558324145,CA,2023-05-23,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
172,1.47097014048068,0.2751915232048755,CA,2023-05-24,1,1,1,0,1,1,1,1,0,0,0,0,1,1,0,1,1,0
173,2.05902618951599,0.2751549945832045,CA,2023-05-25,1,1,0,1,1,1,0,1,1,0,1,0,0,1,1,0,1,1
174,1.88942841280927,0.3274711680528375,CA,2023-05-26,0,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,1,0
175,1.11990191457005,0.3095549208425065,CA,2023-05-27,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1
176,1.56506795042751,0.419163340573179,CA,2023-05-28,0,0,1,1,1,1,1,1,1,0,0,1,0,1,0,1,1,1
177,1.8025752462152,0.480687624351214,CA,2023-05-29,0,0,1,1,1,1,1,1,1,0,0,1,0,1,0,1,1,1
178,2.17440783524844,0.2878880656968645,CA,2023-05-30,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1
179,1.93004816354625,0.3216907270213825,CA,2023-05-31,1,1,1,1,1,0,1,1,0,0,1,1,0,1,0,1,1,0
180,2.23632396388513,0.318638019286481,CA,2023-06-01,0,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1
181,1.3653361382632,0.3687724848841915,CA,2023-06-02,1,1,1,1,1,0,0,1,1,1,0,0,0,1,0,1,1,1
182,1.48641792862759,0.3032289504167485,CA,2023-06-03,0,1,1,0,1,1,1,1,1,0,0,0,1,1,0,1,1,1
183,2.22590602031213,0.4329984760664555,CA,2023-06-04,1,0,1,1,1,0,1,1,1,1,0,0,1,1,0,0,1,1
184,1.58954572211025,0.29909751707412,CA,2023-06-05,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1
185,2.07961940334992,0.406300365462892,CA,2023-06-06,1,1,0,1,1,0,0,1,1,1,0,0,0,1,0,0,1,1
186,2.04710255410866,0.400974937331888,CA,2023-06-07,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0
