...1,es_score,brier_score,location,target_date,X22A_50_CI,X22B_50_CI,X22C_50_CI,other_50_CI,X22A_95_CI,X22B_95_CI,X22C_95_CI,other_95_CI
209,9.28697649158146,0.085558882862692,CA,2022-09-09,0,0,1,0,0,0,1,0
210,9.48029535125161,0.0766292288427655,CA,2022-09-10,0,0,1,0,0,0,1,0
211,0.720325845706823,0.1385444058249895,CO,2022-07-31,1,1,1,1,1,0,0,1
212,2.43799363781551,0.184283333273894,CO,2022-08-01,0,0,1,1,0,0,1,1
213,1.11572692959376,0.0946106787386055,CO,2022-08-02,1,1,1,0,1,1,0,0
214,0.611442040300177,0.056781792505458,CO,2022-08-03,1,1,1,1,1,1,1,1
215,0.924897271714038,0.14121773098381,CO,2022-08-04,1,1,0,1,0,0,0,1
216,0.328650664315715,0.0828027114843615,CO,2022-08-05,1,1,1,1,1,1,1,1
217,0.354922391434679,0.07651785106648,CO,2022-08-06,1,1,1,1,1,1,1,1
218,0.377922523141175,0.1112783648571965,CO,2022-08-07,1,1,1,1,0,0,1,1
219,0.812506911341124,0.1072822014760875,CO,2022-08-08,1,1,1,1,0,0,1,1
220,0.582872590645665,0.111691664188789,CO,2022-08-09,1,1,1,1,0,0,1,1
221,5.81293274179597,0.1914749565051005,CO,2022-08-10,0,0,0,1,0,0,0,1
222,1.46606376253818,0.04694875283631725,CO,2022-08-11,0,1,0,1,0,1,0,1
223,1.85107622269083,0.1638181115406555,CO,2022-08-12,1,0,0,1,0,0,0,1
224,0.320648999467227,0.08317499581042,CO,2022-08-13,1,1,1,1,1,1,1,1
225,0.257550226986095,0.004473372850915165,CO,2022-08-14,1,1,1,1,1,1,1,1
226,0.33647557556931,0.066398695350829,CO,2022-08-15,1,1,1,1,1,1,1,1
227,0.684151486128891,0.003957751004261725,CO,2022-08-16,1,1,1,1,1,1,1,1
228,0.454562218508726,0.101308021049915,CO,2022-08-17,1,1,1,1,1,1,1,1
229,0.73516722057173,0.1014894930549755,CO,2022-08-18,1,1,1,1,0,0,1,1
230,2.25135033149739,0.2076117270796545,CO,2022-08-19,0,0,1,1,0,0,1,1
231,1.44094179807355,0.231999533849663,CO,2022-08-20,1,0,1,0,0,0,1,0
232,0.718927388639484,0.0968205604780975,CO,2022-08-21,1,1,1,1,0,0,1,1
233,6.59355314052819,0.275201553699464,CO,2022-08-22,0,0,1,1,0,0,1,1
234,0.107913619635295,0.002594431063921555,CO,2022-08-23,1,1,1,1,1,1,1,1
235,0.425549975668119,0.00244413212879133,CO,2022-08-24,1,1,1,1,1,1,1,1
236,1.18988387800881,0.141398142283842,CO,2022-08-25,0,0,1,1,1,1,1,1
237,0.905491041038581,0.1088659769867515,CO,2022-08-26,1,1,1,1,0,0,1,1
238,0.436056194071321,0.0847383638844595,CO,2022-08-27,1,1,1,1,1,1,1,1
239,0.0642229804662067,0.00192756480511834,CO,2022-08-28,1,1,1,1,1,1,1,1
240,0.37485930056563,0.07218628569289,CO,2022-08-29,1,1,1,1,0,0,1,1
241,0.284958454749121,0.00171293739151239,CO,2022-08-30,1,1,1,1,1,1,1,1
242,0.216017793112811,0.001614995047329945,CO,2022-08-31,1,1,1,1,1,1,1,1
243,0.0138789067667088,0.001522790634734655,CO,2022-09-01,1,1,1,1,1,1,1,1
244,0.621151178513481,0.104129431225592,CO,2022-09-02,1,1,1,1,0,0,1,1
245,0.11921563995459,0.001354216206142185,CO,2022-09-03,1,1,1,1,1,1,1,1
246,2.75731507792488,0.215557023943336,CO,2022-09-04,0,0,1,1,0,0,1,1
247,1.03136619905382,0.3114054003018565,CO,2022-09-05,0,0,1,1,0,0,1,1
248,4.82242084236183,0.1887647004160235,CO,2022-09-06,0,0,1,0,0,0,1,0
249,0.536393405805564,0.001071948295749835,CO,2022-09-07,1,1,1,1,1,1,1,1
250,0.138100407551036,0.00101127153559294,CO,2022-09-08,1,1,1,1,1,1,1,1
251,0.285795489984103,9.54087331393275e-4,CO,2022-09-09,1,1,1,1,1,1,1,1
252,0.0734597075972542,9.0018908634554e-4,CO,2022-09-10,1,1,1,1,1,1,1,1
253,0.955942734013895,0.131220667115727,CT,2022-07-31,1,1,1,0,0,0,1,0
254,3.07916583029145,0.0153336241412324,CT,2022-08-01,0,0,1,1,0,0,1,1
255,0.933135759861516,0.094728671963606,CT,2022-08-02,1,1,1,1,0,0,0,1
256,1.50368626318286,0.0673342314613805,CT,2022-08-03,1,1,1,1,0,0,0,1
257,1.21684801460736,0.1205184513994915,CT,2022-08-04,1,1,1,1,0,1,0,1
258,1.21151454604798,0.117705615344799,CT,2022-08-05,1,1,1,1,0,0,1,1
259,3.31013972417478,0.164375823235463,CT,2022-08-06,0,0,1,1,1,1,1,1
260,2.97980168006198,0.1692067861029235,CT,2022-08-07,0,0,1,1,0,0,1,1
261,1.00283781178633,0.1050083526868785,CT,2022-08-08,1,1,1,1,0,0,0,1
262,1.08865683139705,0.1133442168789355,CT,2022-08-09,1,1,1,1,0,0,1,1
263,1.01758740220857,0.0800539760425555,CT,2022-08-10,1,1,0,1,0,0,0,1
264,1.24114590141761,0.1041025116616175,CT,2022-08-11,1,1,1,1,1,0,0,1
265,1.28102789548778,0.1210134420489925,CT,2022-08-12,1,1,1,1,1,1,1,1
266,1.05266722103506,0.0767571630075455,CT,2022-08-13,1,1,0,1,1,0,0,1
267,2.38638998802969,0.181182350478596,CT,2022-08-14,0,0,1,1,0,0,1,1
268,0.539980358370469,0.090225497233718,CT,2022-08-15,1,1,1,1,0,0,1,1
269,2.76771379496251,0.14197600105993,CT,2022-08-16,0,0,1,1,0,0,0,1
270,1.84174487461367,0.1197005638344545,CT,2022-08-17,0,0,1,1,0,0,1,1
271,0.759321392973046,0.085163441940748,CT,2022-08-18,1,1,1,1,0,0,1,1
272,6.37560905717164,0.1977834613337115,CT,2022-08-19,0,0,1,0,0,0,1,0
273,4.32095917762877,0.2411182144960535,CT,2022-08-20,0,0,1,1,0,0,1,1
274,1.42403924015811,0.105655547986901,CT,2022-08-21,1,1,1,1,0,0,1,1
275,1.29380319568104,0.0580036497528745,CT,2022-08-22,1,1,1,0,0,0,1,0
276,1.02075097159765,0.0826743515988975,CT,2022-08-23,1,1,1,0,0,0,1,0
277,1.68511993862186,0.250744946280391,CT,2022-08-24,0,0,1,1,0,0,1,1
278,1.12661938232705,0.110187941632845,CT,2022-08-25,1,1,1,0,1,0,1,0
279,1.23420065320338,0.079600676814495,CT,2022-08-26,1,1,1,0,0,0,1,0
