"","es_score","brier_score","location","target_date","X22F_50_CI","X23A_50_CI","X23C_50_CI","X23D_50_CI","recombinant_50_CI","X23B_50_CI","X23E_50_CI","other_50_CI","X22F_95_CI","X23A_95_CI","X23C_95_CI","X23D_95_CI","recombinant_95_CI","X23B_95_CI","X23E_95_CI","other_95_CI"
"167",1.26408061562197,0.787925373907625,"AZ",2023-06-09,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1
"168",1.04385557192641,0.863720765447773,"AZ",2023-06-10,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1
"169",2.85068005589629,0.377708358129158,"CA",2023-04-30,0,1,0,1,1,0,1,1,0,1,0,0,1,0,1,1
"170",4.90762798027453,0.500423561118293,"CA",2023-05-01,0,0,1,0,1,1,1,1,0,0,1,0,1,0,0,1
"171",6.29591088357765,0.557685190484673,"CA",2023-05-02,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0
"172",2.89328393671234,0.383039770755934,"CA",2023-05-03,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,1
"173",1.83457557466412,0.466999318674019,"CA",2023-05-04,1,1,1,0,1,1,1,1,1,0,1,0,1,0,0,1
"174",4.77334438098052,0.413080815751381,"CA",2023-05-05,0,1,1,0,1,0,0,1,0,0,1,0,1,0,0,0
"175",2.32363341679161,0.384002202829103,"CA",2023-05-06,1,1,0,1,1,0,1,1,0,1,0,0,1,0,0,1
"176",1.21541965279443,0.54031704361239,"CA",2023-05-07,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1
"177",9.30334241552286,0.734094252727617,"CA",2023-05-08,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0
"178",5.74543114003937,0.392821368823835,"CA",2023-05-09,0,0,1,1,1,0,1,0,0,0,1,0,1,0,1,0
"179",3.67871154517862,0.57274237384921,"CA",2023-05-10,0,1,1,0,1,1,1,0,0,0,1,0,1,0,0,0
"180",3.93043019748512,0.576490560522065,"CA",2023-05-11,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0
"181",1.74233350646609,0.447887543607715,"CA",2023-05-12,0,1,0,1,1,1,1,1,0,0,0,0,1,1,1,1
"182",1.49989208924267,0.823431669442215,"CA",2023-05-13,1,0,1,0,1,1,0,1,1,0,1,0,1,1,1,1
"183",4.64944569090771,1.10026573862951,"CA",2023-05-14,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1
"184",4.31155060772769,0.696615222196674,"CA",2023-05-15,1,0,1,1,1,0,1,1,1,0,1,0,1,0,0,1
"185",1.43135715362308,0.46652256039718,"CA",2023-05-16,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1
"186",2.01016560708761,0.643148477460649,"CA",2023-05-17,0,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0
"187",1.56723535544499,0.646583905165279,"CA",2023-05-18,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1
"188",2.34353780080113,0.48829223435007,"CA",2023-05-19,0,0,1,1,1,0,1,1,0,0,1,0,1,0,0,1
"189",1.14050091736785,0.221843249070085,"CA",2023-05-20,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"190",1.02375728705947,0.882082308137962,"CA",2023-05-21,0,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1
"191",1.4499227492583,0.572183935407961,"CA",2023-05-22,1,1,0,1,1,1,1,1,1,0,0,0,1,1,0,1
"192",1.42042124884657,0.567871178335899,"CA",2023-05-23,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1
"193",1.38366816591339,0.544006023104306,"CA",2023-05-24,1,1,0,1,1,1,1,1,1,0,0,1,1,0,1,1
"194",2.86183147011499,0.573043720242039,"CA",2023-05-25,0,0,1,1,1,0,1,0,0,0,1,0,1,0,1,0
"195",2.09124813496878,0.662075857877493,"CA",2023-05-26,0,1,1,1,1,1,1,0,0,1,1,0,1,0,1,0
"196",0.962171765134529,0.600950031599311,"CA",2023-05-27,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1
"197",1.52096522702617,0.834617858560541,"CA",2023-05-28,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,1
"198",1.77656551900395,0.968145775054452,"CA",2023-05-29,0,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1
"199",2.7758156651274,0.593120377107686,"CA",2023-05-30,0,0,1,1,1,0,1,1,0,0,1,0,1,0,1,1
"200",2.60582016779437,0.66044404307528,"CA",2023-05-31,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0
"201",2.567303297263,0.647303760082781,"CA",2023-06-01,0,1,1,1,1,1,1,1,0,0,1,0,1,0,0,1
