...1,es_score,brier_score,location,target_date,X21L_50_CI,X22A_50_CI,X22B_50_CI,X22C_50_CI,other_50_CI,X21L_95_CI,X22A_95_CI,X22B_95_CI,X22C_95_CI,other_95_CI
257,0.868626030526804,0.2071332517861675,CT,2022-07-07,1,1,1,1,1,1,0,0,0,1
258,0.93629683592052,0.2208774375966915,CT,2022-07-08,1,1,1,1,1,1,0,0,0,1
259,1.80418871480562,0.247754633485416,CT,2022-07-09,0,1,1,1,1,0,0,0,0,1
260,1.63324269264721,0.193558145882566,CT,2022-07-10,1,1,1,1,1,1,0,0,0,1
261,4.01181404368366,0.2517099658596345,CT,2022-07-11,0,1,1,1,1,0,0,0,0,1
262,1.59574213809804,0.1765116010273055,CT,2022-07-12,1,1,1,1,1,1,0,0,0,1
263,4.24686691169699,0.146221364052619,CT,2022-07-13,0,0,0,0,1,0,0,0,0,1
264,3.3894508432105,0.2456305041223315,CT,2022-07-14,0,0,0,1,1,0,0,0,0,1
265,1.05835275984437,0.14264322328146,CT,2022-07-15,1,1,1,1,1,1,0,0,0,1
266,1.57431059583191,0.1153435307101935,CT,2022-07-16,1,1,1,0,1,1,0,1,0,1
267,5.01361724051238,0.2392127958483505,CT,2022-07-17,0,0,0,1,1,0,1,0,0,1
268,3.87569312981079,0.194875079814955,CT,2022-07-18,1,1,1,0,1,1,0,0,0,1
269,2.3509444146931,0.12030049281801,CT,2022-07-19,0,1,1,0,1,0,0,1,0,1
270,4.64818822680907,0.243289661974726,CT,2022-07-20,0,0,0,1,1,0,0,0,1,1
271,2.73941284678404,0.1810516060903285,CT,2022-07-21,0,1,0,1,1,0,0,0,1,1
272,4.04843620487453,0.235602519804425,CT,2022-07-22,0,1,0,0,1,0,0,0,0,1
273,4.13879069511448,0.24645710468806,CT,2022-07-23,0,0,0,1,1,0,0,0,1,1
274,1.10589573332548,0.107431796096724,CT,2022-07-24,1,1,1,1,1,1,0,0,0,1
275,2.31728172581171,0.1677227224813205,CT,2022-07-25,1,0,0,1,1,1,0,0,0,1
276,4.09356874430415,0.186789331577879,CT,2022-07-26,0,1,0,1,1,0,0,0,1,1
