"","es_score","brier_score","location","target_date","X22F_50_CI","X23A_50_CI","X23B_50_CI","X23C_50_CI","X23D_50_CI","X23E_50_CI","X23F_50_CI","X23G_50_CI","other_50_CI","X22F_95_CI","X23A_95_CI","X23B_95_CI","X23C_95_CI","X23D_95_CI","X23E_95_CI","X23F_95_CI","X23G_95_CI","other_95_CI"
"111",0.945755878874604,0.370563119018266,"AR",2023-07-28,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1
"112",NA,NA,"AR",2023-07-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113",NA,NA,"AR",2023-07-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114",0.388581339247901,0.304887912507262,"AR",2023-07-31,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1
"115",1.62591935576999,0.447635509164769,"AR",2023-08-01,0,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,1,1
"116",1.15291603731316,0.365008191685989,"AR",2023-08-02,1,1,0,1,1,1,1,1,1,1,0,0,1,0,1,0,1,1
"117",NA,NA,"AR",2023-08-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118",0.700720235194851,0.494949899548953,"AR",2023-08-04,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1
"119",NA,NA,"AR",2023-08-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120",NA,NA,"AR",2023-08-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121",0.542029266609117,0.312854601642535,"AR",2023-08-07,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1
"122",1.69558029006144,0.391100688146102,"AR",2023-08-08,1,1,0,1,0,1,1,1,1,0,0,0,1,0,1,1,1,1
"123",1.17049936295845,0.399442489964118,"AR",2023-08-09,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,0,1,0
"124",0.654282439805392,0.477575753930684,"AR",2023-08-10,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1
"125",0.645300048057457,0.403545311737913,"AR",2023-08-11,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1
"126",NA,NA,"AR",2023-08-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127",2.18268518054472,0.360298304054277,"AZ",2023-07-02,1,1,0,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1
"128",3.36859701596266,0.322417979380486,"AZ",2023-07-03,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1
"129",2.66651046580722,0.335493119700727,"AZ",2023-07-04,1,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0,1,0
"130",1.41569681052132,0.392667493778211,"AZ",2023-07-05,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,1,1
"131",1.30391919149944,0.439269797459218,"AZ",2023-07-06,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,1
"132",0.38064672430662,0.270980617243793,"AZ",2023-07-07,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1
"133",2.07638303479665,0.399299636992104,"AZ",2023-07-08,1,0,0,1,1,1,1,1,0,1,0,1,1,0,0,1,1,0
"134",3.82218640385398,0.39048971472141,"AZ",2023-07-09,1,0,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0,1
"135",1.8795219258333,0.381971233758643,"AZ",2023-07-10,1,1,1,1,0,1,1,0,1,0,0,1,1,0,1,0,0,1
"136",2.39434725707587,0.388176790426563,"AZ",2023-07-11,1,1,0,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1
"137",2.51274680363488,0.383058756753435,"AZ",2023-07-12,1,0,1,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1
"138",3.11655694028739,0.376107845627453,"AZ",2023-07-13,1,0,0,1,1,1,1,1,0,0,0,0,1,0,1,0,1,0
"139",1.12983565629157,0.394359585395578,"AZ",2023-07-14,0,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1
"140",1.80964743587729,0.416344843590866,"AZ",2023-07-15,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1,1
