...1,es_score,brier_score,location,target_date,X21L_50_CI,X22A_50_CI,X22B_50_CI,X22D_50_CI,X22E_50_CI,X22F_50_CI,other_50_CI,X21L_95_CI,X22A_95_CI,X22B_95_CI,X22D_95_CI,X22E_95_CI,X22F_95_CI,other_95_CI
153,3.11889259180156,0.2844482043822895,AZ,2022-11-18,1,1,1,0,1,0,1,1,0,0,0,0,0,1
154,3.6997027496672,0.26169606061901,AZ,2022-11-19,1,1,1,1,0,1,1,1,0,0,0,1,1,1
155,2.36408095527248,0.287926250197789,AZ,2022-11-20,1,1,1,1,1,0,1,0,0,0,1,0,0,1
156,8.05413304797477,0.285106342747642,AZ,2022-11-21,0,1,1,1,0,1,1,0,0,0,0,0,0,1
157,9.89296980961084,0.3038373032422915,AZ,2022-11-22,0,0,0,1,0,0,1,0,0,0,0,0,0,1
158,4.10384589686725,0.2739587094409835,AZ,2022-11-23,1,1,0,1,1,1,1,1,0,0,0,0,0,1
159,1.2044978728052,0.323627519211762,AZ,2022-11-24,0,1,1,1,1,1,1,0,1,0,1,0,0,1
160,5.48203018081969,0.274349006427945,AZ,2022-11-25,1,1,1,0,0,0,1,1,0,0,0,0,0,1
161,3.43080085455996,0.29948593478107,AZ,2022-11-26,0,1,1,0,1,1,0,0,1,0,0,1,0,0
162,4.67541496202008,0.2793183803400195,AZ,2022-11-27,1,1,1,1,1,0,1,0,0,0,0,0,0,1
163,11.9078909456423,0.283233049640429,AZ,2022-11-28,1,1,0,1,0,0,1,0,0,0,0,0,0,1
164,4.59107392114486,0.3008360488138475,AZ,2022-11-29,0,1,1,1,1,0,0,0,0,0,0,1,0,0
165,3.06385539774376,0.281880497648054,AZ,2022-11-30,1,1,1,1,1,1,1,1,0,0,0,0,0,1
166,4.78500317205392,0.317391801696731,AZ,2022-12-01,1,1,1,1,1,0,0,1,0,1,0,0,0,1
167,4.11265147850914,0.318546373371216,AZ,2022-12-02,1,1,1,1,1,0,0,0,0,0,1,0,0,0
168,3.80339655760472,0.2952450818103105,AZ,2022-12-03,0,1,0,1,1,1,1,0,0,0,0,0,0,1
169,3.78186865357374,0.251805703543123,CA,2022-10-23,0,1,1,1,0,1,0,0,0,0,0,0,1,0
170,7.71854766361237,0.2833950266076325,CA,2022-10-24,1,1,0,0,1,1,1,0,0,0,0,0,0,0
171,7.44105998140103,0.2787280819892985,CA,2022-10-25,0,1,0,1,0,1,1,0,0,0,0,0,0,1
172,4.65852804600728,0.277440692278649,CA,2022-10-26,1,1,1,1,1,1,1,0,0,0,0,0,0,1
173,4.92948013910556,0.276105607744374,CA,2022-10-27,1,1,1,1,1,1,1,0,0,0,0,0,0,0
174,7.38512757834911,0.2265977525119975,CA,2022-10-28,1,1,0,0,1,1,1,0,0,0,0,0,0,0
175,6.58900945289378,0.2630138697472745,CA,2022-10-29,1,1,0,1,1,1,1,0,0,0,0,0,0,0
176,7.50417699558913,0.2910513034825695,CA,2022-10-30,1,0,1,1,0,1,0,0,0,0,0,0,0,0
177,7.48489252943236,0.2891621299871185,CA,2022-10-31,1,1,1,1,1,1,0,0,0,0,0,0,0,0
178,5.40785110169465,0.294658742477838,CA,2022-11-01,1,1,1,1,1,1,1,0,0,0,0,0,0,0
179,4.22514510450473,0.2923735347759135,CA,2022-11-02,1,1,1,1,1,1,1,0,0,0,0,0,0,1
180,6.06048258589797,0.30129230305117,CA,2022-11-03,1,1,1,1,1,1,1,0,0,0,0,0,0,1
181,10.0971470308975,0.2796240506118785,CA,2022-11-04,1,1,0,1,1,1,1,0,0,0,0,0,0,1
182,4.71602545622057,0.3050726808955495,CA,2022-11-05,1,1,1,0,1,1,1,0,0,0,0,0,0,1
183,5.66547215894715,0.3112446141096875,CA,2022-11-06,1,1,1,1,1,1,1,0,1,0,0,0,0,1
184,8.6689951826076,0.3066567819725275,CA,2022-11-07,1,1,1,1,1,1,1,0,0,0,0,0,0,0
185,7.79868085375514,0.309865281804476,CA,2022-11-08,1,1,1,1,1,1,0,0,0,0,0,0,1,0
186,9.04188613090571,0.295553291874738,CA,2022-11-09,0,0,1,1,1,0,0,0,0,0,0,0,0,0
187,8.30568507025859,0.314027097395497,CA,2022-11-10,1,1,1,1,1,1,1,0,0,0,0,0,0,0
188,8.63494697663552,0.316741109955285,CA,2022-11-11,0,1,1,1,1,0,0,0,0,0,0,0,1,0
189,7.51676070301834,0.3194721181700565,CA,2022-11-12,1,1,1,1,1,0,1,0,0,0,0,0,1,0
190,14.0497301132707,0.310353823831789,CA,2022-11-13,0,1,0,1,0,1,1,0,0,0,1,0,0,0
191,7.99884929845087,0.310921129740102,CA,2022-11-14,1,1,1,1,1,1,1,0,0,0,0,0,0,0
192,12.2616664817241,0.310038378877708,CA,2022-11-15,1,1,0,1,1,1,1,0,0,0,0,0,0,1
193,21.2120331300374,0.3136856844791885,CA,2022-11-16,0,1,0,1,1,1,1,0,0,0,0,0,0,0
194,21.6015865405341,0.3097072317864985,CA,2022-11-17,0,1,0,1,0,1,0,0,1,0,0,0,0,0
195,21.4406483890563,0.3082612207190895,CA,2022-11-18,1,1,0,1,0,0,1,0,0,0,0,0,1,1
196,19.3037725360124,0.3132609941232835,CA,2022-11-19,0,1,0,1,0,1,1,0,0,0,0,0,0,0
