"","es_score","brier_score","location","target_date","X22F_50_CI","X23A_50_CI","X23B_50_CI","X23D_50_CI","X23F_50_CI","X24A_50_CI","X23H_50_CI","X23I_50_CI","other_50_CI","X22F_95_CI","X23A_95_CI","X23B_95_CI","X23D_95_CI","X23F_95_CI","X24A_95_CI","X23H_95_CI","X23I_95_CI","other_95_CI"
"162",0.000920172199217049,0.00155233488962528,"AZ",2024-01-28,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"163",2.88065387215069,0.239910436126163,"AZ",2024-01-29,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1
"164",1.91641799204686,0.202994812863158,"AZ",2024-01-30,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1
"165",1.0872599929676,0.139792179981234,"AZ",2024-01-31,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,0
"166",0.00541541177308374,0.000653549562822967,"AZ",2024-02-01,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"167",0.00462348135929123,0.000526216069000706,"AZ",2024-02-02,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"168",NA,NA,"AZ",2024-02-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"169",1.86747795579865,0.482938635126665,"CA",2023-12-24,1,1,1,1,0,0,1,0,1,1,1,1,1,0,0,1,0,1
"170",0.846541514045716,0.812466794866718,"CA",2023-12-25,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1
"171",2.27907029346427,0.56681650103313,"CA",2023-12-26,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,0
"172",2.88568997638911,0.749324300203664,"CA",2023-12-27,1,0,1,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0
"173",2.18034079108905,0.47899849281983,"CA",2023-12-28,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,0,1,0
"174",2.70919368274192,0.460096160164096,"CA",2023-12-29,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1
"175",1.20966388152569,0.663957336348021,"CA",2023-12-30,1,0,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,0
"176",0.393021811592489,0.174846860246857,"CA",2023-12-31,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
"177",0.343538845408361,0.466286841165568,"CA",2024-01-01,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
"178",1.26621065655509,0.543666714424866,"CA",2024-01-02,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0
"179",1.37067368647176,0.488951418461425,"CA",2024-01-03,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0
"180",1.89997111942441,0.543054219943738,"CA",2024-01-04,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1
"181",1.07417347196543,0.446678106319884,"CA",2024-01-05,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1
"182",3.75513748477463,0.90132666855782,"CA",2024-01-06,1,1,1,1,0,0,1,1,0,1,1,0,1,0,0,1,1,0
"183",1.77113241532152,1.11662379031496,"CA",2024-01-07,1,0,1,1,1,0,1,0,1,0,0,1,1,0,0,1,0,1
"184",2.35164755941316,0.42996400066532,"CA",2024-01-08,1,0,1,1,1,1,1,0,1,1,0,1,1,1,0,0,1,1
"185",5.84271747617276,0.259398828333498,"CA",2024-01-09,1,0,1,1,0,0,1,1,1,1,0,1,0,0,0,1,0,0
"186",4.86186047248714,0.272694468491669,"CA",2024-01-10,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,1,0
"187",3.84784717300645,0.263965356554234,"CA",2024-01-11,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,1,1
