...1,es_score,brier_score,location,target_date,X22E_50_CI,X22F_50_CI,X23A_50_CI,X23C_50_CI,X23D_50_CI,other_50_CI,X22E_95_CI,X22F_95_CI,X23A_95_CI,X23C_95_CI,X23D_95_CI,other_95_CI
192,2.64789201213955,0.131245230356161,CA,2023-03-14,1,1,1,1,1,0,0,0,0,0,1,0
193,3.26126240270648,0.1310257203159165,CA,2023-03-15,1,0,1,1,1,1,0,0,0,0,1,0
194,3.13235647910568,0.0983144823734425,CA,2023-03-16,0,1,1,1,1,0,0,0,0,0,0,0
195,4.43861359506811,0.1515242563842285,CA,2023-03-17,1,0,1,1,0,1,0,0,0,1,0,0
196,2.2974327567222,0.1315126230846765,CA,2023-03-18,1,1,1,1,1,0,1,1,0,1,0,0
197,3.24686985591217,0.169011246608856,CA,2023-03-19,0,1,0,0,1,1,0,0,0,0,1,0
198,4.1426631057654,0.0634170238060525,CA,2023-03-20,0,1,0,1,1,1,0,0,0,1,0,1
199,3.57137855924088,0.0910254745191515,CA,2023-03-21,0,1,1,1,1,0,0,0,0,0,0,0
200,3.21482086813933,0.12214173128373,CA,2023-03-22,1,1,1,1,1,0,0,0,0,0,0,0
201,3.51941005983316,0.1356766611231285,CA,2023-03-23,1,0,1,1,1,1,0,0,1,0,0,0
202,3.13839897601552,0.1327791146463385,CA,2023-03-24,1,1,1,0,1,0,0,0,0,0,0,0
203,6.62797711093634,0.231650480809422,CA,2023-03-25,1,0,0,0,1,0,0,0,0,0,0,0
204,5.11872072575231,0.172781832526769,CA,2023-03-26,1,1,1,0,1,0,0,0,0,0,0,0
205,5.64304754783573,0.0998801183618195,CA,2023-03-27,0,1,1,1,1,0,0,1,0,1,1,0
206,4.42401453957417,0.057035681495101,CA,2023-03-28,1,1,0,1,1,1,0,0,0,0,0,0
207,5.85876109842105,0.1982875656280965,CA,2023-03-29,1,0,1,0,1,0,0,0,0,1,0,0
208,5.1005672727744,0.076034033164594,CA,2023-03-30,1,1,0,1,1,1,1,0,0,1,0,0
209,4.26250320716942,0.1221105327825045,CA,2023-03-31,1,1,1,0,1,0,1,1,0,0,0,0
210,3.4458083612519,0.191157676168897,CA,2023-04-01,1,0,1,0,1,1,1,0,0,0,0,1
211,0.672517108227493,0.215664694502284,CO,2023-02-19,1,1,1,1,1,1,0,0,1,1,1,1
212,1.00323673991782,0.1469573573341445,CO,2023-02-20,0,1,1,1,1,1,0,1,0,1,1,1
213,0.480460507959664,0.058954232821983,CO,2023-02-21,1,1,1,1,1,1,0,0,0,1,1,1
214,0.908135193256389,0.157501491724428,CO,2023-02-22,1,0,1,1,1,1,1,0,0,1,1,1
215,0.208176171601497,0.00452133513935376,CO,2023-02-23,1,1,1,1,1,1,1,0,0,1,1,1
216,0.403242258892008,0.004040197505779845,CO,2023-02-24,1,1,1,1,1,1,0,1,0,1,1,1
217,0.0931728376815054,0.00361669536095321,CO,2023-02-25,1,1,1,1,1,1,0,1,0,1,1,1
218,0.080071480764756,0.003243716345181765,CO,2023-02-26,1,1,1,1,1,1,1,1,0,1,1,0
219,0.421608851190618,0.062515870332705,CO,2023-02-27,1,1,1,1,1,1,1,1,1,1,1,1
220,1.66036243802025,0.163659400707278,CO,2023-02-28,0,0,0,1,1,1,0,0,0,1,1,1
221,0.876955033628595,0.002369362286786755,CO,2023-03-01,1,1,1,1,1,1,1,1,1,1,1,1
222,0.225406118476694,0.002143432666365155,CO,2023-03-02,1,1,1,1,1,1,0,1,0,1,1,1
223,0.08553695254284,0.00194372660991482,CO,2023-03-03,1,1,1,1,1,1,1,1,1,1,1,1
224,1.12831779137089,0.3173210451619355,CO,2023-03-04,1,1,0,1,1,0,1,1,0,1,1,0
