...1,es_score,brier_score,location,target_date,X22E_50_CI,X22F_50_CI,X23A_50_CI,X23B_50_CI,X23D_50_CI,X23E_50_CI,X23F_50_CI,other_50_CI,X22E_95_CI,X22F_95_CI,X23A_95_CI,X23B_95_CI,X23D_95_CI,X23E_95_CI,X23F_95_CI,other_95_CI
179,1.3622363408858,0.269803293752132,CA,2023-05-24,1,1,1,0,1,1,1,0,1,1,0,0,0,1,1,0
180,1.24478915300725,0.2630750342325005,CA,2023-05-25,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,1
181,2.0992065204169,0.332561144630436,CA,2023-05-26,1,0,0,1,1,1,1,0,1,0,0,0,0,0,1,0
182,1.34456331799083,0.323596224175998,CA,2023-05-27,1,1,1,0,1,0,1,1,1,0,1,0,0,0,1,1
183,2.30824588804659,0.4745165787815625,CA,2023-05-28,1,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1
184,2.50129453163278,0.548478214120205,CA,2023-05-29,1,0,0,1,0,0,1,1,1,0,0,0,1,1,1,1
185,1.06381067967868,0.277675211190025,CA,2023-05-30,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1
186,2.25260222391352,0.326608211544409,CA,2023-05-31,1,1,0,1,1,1,1,1,1,0,0,0,1,0,1,0
187,1.85122094730874,0.316673784934925,CA,2023-06-01,1,0,1,0,1,1,1,1,1,0,0,1,0,0,0,1
188,1.9937508607147,0.3894775403589605,CA,2023-06-02,1,1,0,1,1,0,0,1,1,1,0,1,0,0,0,1
189,1.21920317977456,0.2890905566066505,CA,2023-06-03,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
190,3.41142640299455,0.50140940178736,CA,2023-06-04,1,1,0,1,1,0,1,1,0,1,0,0,1,0,1,0
191,1.17985873073258,0.28437271096079503,CA,2023-06-05,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1
192,2.77910184573086,0.434247776791499,CA,2023-06-06,1,1,0,1,1,0,0,1,1,1,0,0,0,0,0,1
193,3.93667388679889,0.454560334486835,CA,2023-06-07,1,1,0,0,1,1,1,0,1,0,0,0,0,0,1,0
194,1.69917214561718,0.385216490241156,CA,2023-06-08,1,1,0,1,0,1,1,1,1,1,0,1,0,0,1,0
195,5.24323876785526,0.535112955905625,CA,2023-06-09,1,0,0,1,1,1,0,0,1,0,0,0,1,1,0,0
196,1.39326076113284,0.661091117720555,CA,2023-06-10,1,1,0,1,1,0,1,0,1,1,0,1,1,0,1,0
197,1.0570619933642,0.370171250565699,CA,2023-06-11,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
198,1.45031743355794,0.368635803207386,CA,2023-06-12,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,0
199,1.64770818367698,0.3263118570359615,CA,2023-06-13,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1
200,2.39916503162544,0.3888580345331695,CA,2023-06-14,1,1,0,1,1,1,1,0,1,1,0,1,0,0,1,0
201,1.26981827932113,0.3525189972463525,CA,2023-06-15,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1,1
